Play	Main
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	Ledakan keji dari potongan kayu yang bengkok ini akan melapisi targetnya dengan racun yang mematikan. Makhluk yang diracuni akan mengalami kerusakan berkala sampai efeknya berakhir. Durasi efeknya meningkat seiring dengan level tongkat.
Wand of Regrowth	Tongkat Pertumbuhan Kembali
"When life ceases new life always begins to grow... The eternal cycle always remains!"	"Ketika kehidupan berhenti, kehidupan baru selalu mulai tumbuh ... Siklus abadi selalu tetap!"
Wand of Slowness	Tongkat Kelambatan
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	Tongkat ini akan menyebabkan makhluk bergerak dan menyerang dengan kecepatan setengah dari biasanya sampai efeknya berakhir
You have magically transported %s into your backpack	Anda telah secara ajaib memindahkan %s ke dalam ransel Anda
Wand of Teleportation	tongkat teleportasi
A blast from this wand will teleport a creature against its will to a random place on the current level.	Ledakan dari tongkat ini akan memindahkan makhluk di luar kehendaknya ke tempat acak pada level saat ini.
%1$s teleported %2$s to somewhere	%1$s teleportasi %2$s ke suatu tempat
nothing happened	tidak terjadi apa-apa
You are now familiar enough with your %1$s to identify it. It is %2$s.	Sekarang Anda sudah cukup kenal %1$s Anda untuk mengenalinya. Ini adalah %2$s.
Interaction of different types of magic has negated the enchantment on this weapon!	Interaksi dari berbagai tipe sihir telah mantra di senjata ini!
%1$s :%2$d	%1$s :%2$d
grim %s	Suram %s
blazing %s	Berkobar %s
eldritch %s	Eldritch %s
unstable %s	%s tidak stabil
vampiric %s	Vampir %s
lucky %s	beruntung %s
stunning %s	Melumpuhkan %s
venomous %s	%s berbisa
chilling %s	Menakutkan %s
This %1$s is %2$s tier-%3$d melee weapon.	%1$s ini adalah senjata jarak dekat %2$s tingkat%3$d .
a	a
a upgraded	telah ditingkatkan
an degraded	telah diturunkan
Its average damage is %d points per hit.	Serangan biasanya %d poin tiap pukulan.
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	Serangan biasanya %1$d poin tiap pukulan dan membutuhkan %2$d poin kekuatan.
Probably this weapon is too heavy for you.	Senjata ini terlalu berat untuk Anda.
This is a rather %s weapon.	Ini adalah senjata yang %s.
fast	cepat
slow	lambat
and	dan
but	tapi
accurate	akurat
inaccurate	tidak akurat
It was balanced to make it faster.	Ini telah diseimbangkan untuk membuatnya lebih cepat.
It was balanced to make it more accurate.	Ini telah diseimbangkan untuk membuatnya lebih akurat.
It is enchanted.	Ini telah disihir
You hold the %1$s at the ready%2$s.	Anda memegang %1$s di %2$s siap.
, and because it is cursed, you are powerless to let go	, dan karena telah dikutuk, Anda tidak dapat melepaskannya
You can feel a malevolent magic lurking within %s.	Anda dapat merasakan sihir jahat meliputi %s ini.
battle axe	kapak perang
The enormous steel head of this battle axe puts considerable heft behind each stroke.	Ujung baja besar dari kapak perang ini memberikan berat yang banyak dari tiap serangan.
dagger	pisau
A simple iron dagger with a well worn wooden handle.	Sebilah pisau besi dengan gagang kayu yang baik.
A polearm consisting of a sword blade on the end of a pole.	Sebatang tongkat dengan mata pedang di ujungnya.
knuckleduster	knuckle
A piece of iron shaped to fit around the knuckles.	Sepotong besi berbentuk untuk muat di lipatan jari.
longsword	pedang panjang
This towering blade inflicts heavy damage by investing its heft into every cut.	Pedang panjang ini menyebabkan serangan berat dengan meletakan bebannya di tiap sabetan.
mace	gada
The iron head of this weapon inflicts substantial damage.	Ujung besi dari senjata ini menyebabkan serangan besar.
quarterstaff	tongkat kuat
A staff of hardwood, its ends are shod with iron.	Tongkat dari kayu yang kuat, ujungnya ditutupi besi.
short sword	pedang pendek
It is indeed quite short, just a few inches longer, than a dagger.	Ini memang lumayan pendek, hanya beberapa inci lebih panjang, dari sebilah pisau.
REFORGE	TEMPA ULANG
Select a weapon to upgrade	Pilih senjata untuk ditingkatkan
you reforged the short sword to upgrade your %s	Anda menempa ulang pedang pendek Anda untuk meningkatkan %s Anda
you can't upgrade a boomerang this way	Anda tidak dapat meningkatkan sebuah bumerang dengan cara ini
spear	tombak
A slender wooden rod tipped with sharpened iron.	Tongkat kayu ramping berujung dengan besi yang tajam.
sword	pedang
The razor-sharp length of steel blade shines reassuringly.	Panjang mata pedang baja yang sangat tajam ini berkilau dengan meyakinkan.
war hammer	palu perang
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	Hanya sedikit makhluk yang dapat bertahan dari serangan meremukan kumpulan timah dan baja tinggi ini, tapi hanya petualang terkuat yang dapat menggunakan ini dengan efektif.
Missile weapon	Senjata jarak jauh
Do you really want to equip it as a melee weapon?	Apakah Anda yakin akan menggunakan ini sebagai senjata jarak dekat?
\n\nAverage damage of this weapon equals to %d points per hit.	\n\n\nSerangan biasanya dari senjata ini adalah %d poin tiap pukulan.
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	Karena kekuatan yang tidak memadai akurasi dan kecepatan serangan menggunakan ini %s berkurang.
Because of your excess strength the damage of your attack with this %s is increased.	Karena kekuatan yang lebih serangan Anda menggunakan ini %s bertambah.
\n\nYou hold the %s at the ready.	\n\n\nAnda memegang %s dengan siap.
boomerang	bumerang
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	Saat dilempar ke arah musuh senjata jarak jauh kayu gepeng, melengkung, ini akan kembali ke tangan pelemparnya.
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	Anak panah kecil yang jahat ini tidak memberikan banyak kerusakan, tetapi mereka dapat melumpuhkan target sehingga membuatnya tidak berdaya dan tidak bergerak untuk beberapa waktu.
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	Duri logam sederhana ini telah dibuat untuk terbang lurus dan menusuk mangsa mereka dengan kibasan dari pergelangan tangan.
incendiary dart	dart membakar
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	Lonjakan pada masing-masing anak panah ini dirancang untuk menjepitnya ke targetnya sementara senyawa tidak stabil yang diikatkan pada panjangnya meledak menjadi nyala api yang cemerlang.
javelin	lembing
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	Sebatang logam ini telah diseimbangkan untuk menahan ujungnya di depan saat melayang melewati udara.
shuriken	piau
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	Potongan-potongan logam berbentuk bintang dengan mata pisau yang sangat tajam menyebabkan serangan berarti saat mereka menyentuh target. Mereka dapat dilempar dengan sangat cepat.
tomahawk	kapak
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	Kapak lempar ini tidak terlalu berat, tapi tetap membutuhkan kekuatan berarti untuk digunakan secara efektif.
A cloud of confusion gas is swirling here.	Awan gas kebingungan berputar-putar di sini.
A fire is raging here.	Api berkobar di sini.
Shafts of light pierce the gloom of the underground garden.	Poros cahaya menembus kegelapan taman bawah tanah.
A cloud of paralytic gas is swirling here.	Awan gas lumpuh berputar-putar di sini.
A greenish cloud of toxic gas is swirling here.	Awan beracun kehijauan berputar-putar di sini.
You died from a toxic gas..	Kamu mati karena menghirup gas beracun...
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	 The power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of your equipped items.
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	Saat Anda menyesapnya, Anda merasakan pengetahuan mengalir ke dalam pikiran Anda. Anda sekarang tahu segalanya tentang item yang dilengkapi. Juga, Anda merasakan semua item pada level dan mengetahui semua rahasianya.
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	Kekuatan kesehatan terpancar dari air sumur ini. Minumlah sedikit untuk menyembuhkan luka Anda dan memuaskan rasa lapar.
As you take a sip, you feel your wounds heal completely.	Saat Anda menyesapnya, Anda merasakan luka Anda sembuh total.
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	Kekuatan perubahan terpancar dari air sumur ini. Lempar item ke dalam sumur untuk mengubahnya menjadi sesuatu yang lain.
Everything is covered with a thick web here.	Semua disini tertutup sarang laba-laba tebal
Amok	Amuk
Barkskin	kulit kayu
Bleeding	Pendarahan
You bled to death...	Kamu berdarah hingga mati...
Blinded	Buta
Burning	Terbakar
%s burns up!	%s hangus terbakar!
You burned to death...	Kamu terbakar hingga mati...
Charmed	terpesona
Combo	Kombo
%d hit combo!	%d combo pukulan
Crippled	Terkilir
Frozen	Beku
Fury	Kemarahan
You are hungry.	Kamu lapar.
You are starving!	Anda kelaparan!
You starved to death...	Kamu kelaparan hingga mati...
Hungry	Lapar
Starving	Kelaparan
Invisible	Tak terlihat
Levitating	Melayang
Illuminated	diterangi
Mind vision	penglihatan pikiran
Caustic ooze	cairan kaustik
%s killed you...	%s membunuhmu...
Paralyzed	Lumpuh
Poisoned	Keracunan
You died from poison...	Kamu mati karena keracunan...
Rooted	Berakar
Shadowmelded	 Dilebur bayangan
Slowed	Melambat
Vertigo	Pusing
Weakened	Melemah
backpack	Tas punggung
Real description is coming soon!	Deskripsi sebenarnya akan datang!
You hear something died in the distance	Anda mendengar ada sesuatu mati di kejauhan
This %s is sleeping	 %s ini sedang tidur
This %s is hunting	 %s ini sedang berburu
This %s is fleeing	 %s ini sedang melarikan diri
This %s is passive	 %s ini sedang pasif
acidic scorpio	skorpio beracun
albino rat	tikus albino
crazy bandit	penjahat gila
vampire bat	kelelawar vampir
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	Makhluk cepat dan gigih ini adalah penghuni dari gua yang dapat mengalahkan musuh yang lebih besar dengan cara mengisi nyawa mereka dengan tiap serangan sukses mereka.
gnoll brute	gnoll besar
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	Gnoll besar adalah yang terbesar, terkuat dan tertangguh dari gnoll lainnya. Saat sedikit terluka, mereka akan mengamuk, menyebabkan serangan lebih besar ke musuh mereka.
%s becomes enraged!	%s menjadi marah!
enraged	marah
sewer crab	kepiting saluran
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	Kepiting besar ini adalah puncak rantai makanan di saluran bawah tanah. Mereka sangat cepat dan tulang tebal mereka dapat menahan serangan berat.
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	Mesin ini dibuat oleh para kurcaci beberapa abad yang lalu. Lalu, setelah para kurcaci mulai mengganti mesin dengan monster batu, elemental dan setan. Itu membuat peradaban mereka mengarah ke penolakan. DM-300 dan mesin lainnya digunakan untuk konstruksi dan menambang, dan dalam keadaan tertentu, untuk pertahanan kota.
DM-300 repairs itself!	DM-300 membetulkan diri sendiri!
Mission failed. Shutting down.	Misi gagal. Mematikan.
Unauthorized personnel detected.	Personil tak terautorisasi terditeksi.
fire elemental	elemental api
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	Elemental api pengembara adalah produk sampingan dari pemanggilan entitas yang lebih besar. Sifat mereka terlalu kacau untuk dikendalikan bahkan oleh ahli demonologi yang paling kuat sekalipun.
evil eye	mata jahat
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	Nama lain dari setan ini adalah "bola kebencian", karena saat dia melihat musuh, dia menggunakan tatapan mematikannya dengan sembrono, kadang tidak mempedulikan sekutunya dan melukai mereka.
%s's deathgaze killed you...	Tatapan kematian %s membunuh Anda...
fetid rat	Tikus busuk
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	Tikus berkantung ini jauh lebih besar dari tikus biasa. Itu dikelilingi oleh awan busuk.
gnoll scout	gnoll pengintai
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	Gnoll adalah manusia setengah hyena. Mereka tinggal di saluran dan dugeon, mencoba menyerang permukaan dari waktu ke waktu. Gnoll pengintai adalah anggota biasa dari kelompok mereka, mereka tak sekuat gnoll besar dan tak sepintar dukun.
golem	monster batu
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	Para kurcaci mencoba menggabungkan pengetahuan mereka tentang mekanisme dengan kekuatan elemental baru mereka. Mereka menggunakan roh bumi sebagai jiwa yang memasuki tubuh monster batu itu. Meskipun, kesalahan terkecil dalam ritual dapat menyebabkan kekacauan.
Goo	Lendir
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	Tidak banyak yang diketahui tentang Goo. Sangat mungkin bahwa ia bukanlah makhluk, melainkan gabungan zat dari saluran pembuangan yang mendapatkan dasar-dasar kehendak bebas. Apa pun itu, jelas sekali bahwa sihir gelap bekerja di sini.
Goo is pumping itself up!	Lendir sedang memompa diri!
glurp... glurp...	glurp... glurp...
GLURP-GLURP!	GLURP-GLURP!
!!!	!!!
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	Raja terakhir dari kurcaci terkenal akan pengertian mendalamnya tentang proses hidup dan mati. Dia telah membujuk makhamahnya untuk mengikuti sebuah ritual, yang akan memberikan mereka hidup muda abadi. Akhirnya dia hanya satu-satunya yang mendapatkannya - dan mendapat sebuah pasukan mayat hidup sebagai bonus.
You cannot kill me, %s... I am... immortal...	Kau tidak dapat membunuhku, %s... aku... abadi...
Arise, slaves!	Bangkitlah, budakku!
How dare you!	Beraninya kau!
undead dwarf	mayat hidup kurcaci
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	Mayat hidup kurcaci ini, dihidupkan oleh kemauan dari Raja Kurcaci, dulunya anggota dari makhamahnya. Mereka terlihat sebagai tulang belulang dengan rambut palsu yang menarik perhatian.
mimic	mimik
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	Mimik adalah makhluk ajaib yang dapat merubah bentuk ke bentuk apapun yang mereka mau. Di dungeon mereka selalu memilih bentuk peti harta karun, karena mereka tahu cara menarik perhatian petualang.";
dwarf monk	biksu kurcaci
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	Biksu ini adalah fanatik, yang membaktikan diri mereka untuk menjaga rahasia kota mereka dari semua makhluk asing. Mereka tidak menggunakan pengaman atau senjata, hanya mengandalkan seni dari pertempuran tangan.
parried	tertangkis
%1$s has knocked the %2$s from your hands!	%1$s telah menjatuhkan %2$s dari tangan Anda!
giant piranha	piranha raksasa
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	Ikan karnivora ini tidak alami penghuni dari kolam bawah tanah. Mereka dibesarkan secara khusus untuk menjaga ruang harta karun tergenang.
marsupial rat	tikus marsupialia
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	Tikus marsupialia bersifat agresif, tapi penghuni lemah di saluran bawah tanah. Mereka dapat menjadi berbahaya dalam jumlah banyak.
scorpio	skorpio
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	Arakhinida raksasa ini adalah makhluk yang menghindari serangan jarak dekat dengan segala cara, menembak duri bergerigi yang melumpuhkan dari jarak jauh.
senior monk	biksu senior
gnoll shaman	dukun gnoll
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	Gnoll paling pintar dapat menguasai sihir perdukunan. Dukun gnoll memilih untuk bertarung dengan mantra perang untuk mengimbangi kekuatannya yang lemah, tidak ragu untuk mereka yang mempertanyakan status mereka di suku mereka.
%s's lightning bolt killed you...	sambaran petir %s membunuh Anda...
shielded brute	gnoll berperisai
skeleton	tulang belulang
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	Tulang belulang terbuat dari tulang mayat petualang dan penghuni dugeon yang tidak beruntung, dirasuki oleh sihir jahat dari bawah. Setelah mereka cukup terluka, mereka akan hancur dalam ledakan tulang.
blocked	tertahan
You were killed by the explosion of bones...	Anda terbunuh karena ledakan tulang...
cave spinner	laba-laba gua
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	Laba-laba gua kehijauan berbulu ini mencoba untuk menghindari pertarungan langsung, memilih untuk menunggu agak jauh saat korban mereka, terlilit di dalam jaring laba-laba, perlahan akan mati karena gigitan beracunnya.
animated statue	patung tersihir
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	Anda akan berpikir ini hanyalah patung jelek lainnya dari dungeon ini, tapi mata merah berkilaunya membuka kedoknya. Walaupun patungnya sendiri terbuat dari batu,  _%s_, yang dipegannya, terlihat nyata.
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	Para succubus adalah setan perempuan yang terlihat menarik (dengan cara yang agak gotik). Menggunakan sihirnya, succubus dapat mempesona pahlawan, sehingga tidak menyerang apapun sampai efeknya hilang.
swarm of flies	gerombolan lalat
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	Gerombolan lalat yang mematikan berdengung dengan marah. Semua serang non-sihir akan membelahnya menjadi dua gerombolan lebih kecil yang sama bahayanya.
Tengu	Tengu
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	Tengu adalah anggota dari klan pembunuh kuno, yang juga bernama Tengu. Pembunuh ini dikenal atas penggunaan jebakan dan shuriken yang banyak.
Free at last...	Bebas akhirnya...
Gotcha, %s!	Tertangkap, %s!
crazy thief	pencuri gila
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	Tingkat lebih dalam dari Dungeon selalu menjadi persembunyian berbagai macam kriminal. Tidak semuanya dapat memiliki pikiran jernih di waktu yang lebih lama jauh dari sinar matahari. Dahulu, pencuri dan penjahat gila ini telah lupa siapa mereka dan mengapa mereka mencuri.
%1$s stole %2$s from you!	%1$s mencuri %2$s dari Anda!
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n\n%1$s sedang membawa _%2$s_. Dicuri pastinya.
dwarf warlock	penyihir kurcaci
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	Saat minat para kurcaci berpindah dari teknik mesin ke seni batin, para penyihir muncul di kota. Mereka mulai dengan sihir elemental, tapi akan berubah ke demonologi dan nekromansi.
%s's shadow bolt killed you...	Sambaran kegelapan %s membunuh Anda...
wraith	hantu
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	Hantu adalah roh pendosa yang penuh balas dendam, dimana liang kuburnya atau kuburannya telah diganggu. Karena merupakan makhluk halus, makhluk ini sangat susah dipukul dengan senjata biasa.
Yog-Dzewa	Yog-Dzewa
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	Yog-Dzewa adalah Dewa Tua, sebuah makhluk kuat dari dunia khaos. Satu abad yang lalu, para kurcaci kuno memenangkan peperangan melawan pasukan setannya, tapi mereka tidak dapat mengalahkan dewa itu sendiri. Sebaliknya, mereka kemudian memenjarakan dewa itu di sebuah ruangan di bawah kota mereka, mereka percaya dewa itu sudah terlalu lemah untuk bangkit lagi.
...	...
Hope is an illusion...	Harapan adalah ilusi...
rotting fist	tinjuan pembusukan
burning fist	tinjuan api
god's larva	larva dewa
golden bee	lebah
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	Meskipun ukurannya kecil, lebah cenderung melindungi sarangnya dengan keras. Mereka tidak hidup lama sekalipun.
This %s is wandering	 %s ini sedang berkelana
troll blacksmith	troll pandai besi
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	Troll pandai besi ini terlihat sama dengan troll lainnya. Ia pendek dan kurus, dan kulitnya menyerupai baru baik warna maupun teksturnya. Ia sedang mengutak-atik dengan alat kecil yang tidak proporsional.
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Hei manusia! Kau ingin berguna, kan? Ambil kapak ini dan carikan aku _Biji emas hitam_, _15 buah_sudah cukup harusnya. Apa maksudmu, bagaimana saya membayarnya? Kau rakus...\nOk, ok, aku tidak punya uang untuk membayarmu, tapi aku bisa membuatkan sesuatu untukmu. Anggap saja kau beruntung, aku satu-satunya pandai besi didaerah ini.
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Hei manusia! Kau ingin berguna, kan? Ambil kapak ini dan _Bunuh kalelawar_ dengan itu, Aku butuh darahnya pada mata pisaunya. Apa maksudmu, bagaimana saya membayarnya? Kau rakus...\nOk, ok, aku tidak punya uang untuk membayarmu, tapi aku bisa membuatkan sesuatu untukmu. Anggap saja kau beruntung, aku satu-satunya pandai besi didaerah ini.
Are you kiddin' me? Where is my pickaxe?!	Apa kau bercanda? Dimana kapak ku?!
Dark gold ore. 15 pieces. Seriously, is it dat hard?	Biji emas hitam. 15 buah. Serius, sesusah itukah?
I said I need bat blood on the pickaxe. Chop chop!	Aku bilang aku butuh darah kalelawar di kapakku. Chop chop!
Oh, you have returned... Better late dan never.	Oh, Anda telah kembali... Lebih baik terlambat daripada tidak sama sekali.
I'm busy. Get lost!	Saya sedang sibuk. Pergilah!
your %s certainly looks better now	Anda 1%s lebih terlihat membaik sekarang
Select 2 different items, not the same item twice!	Pilih 2 item yang berbeda, tidak item yang sama dua kali!
Select 2 items of the same type!	Pilih 2 item yang sama tipenya!
I need to know what I'm working with, identify them first!	Aku harus tahu aku akan mengerjakan apa, identifikasi itu dulu.
I don't work with cursed items!	Saya tidak bekerja dengan benda terkutuk!
It's a junk, the quality is too poor!	Ini adalah sampah, kualitasnya terlalu buruk!
I can't reforge these items!	Saya tidak dapat menenmpa ulang barang ini!
sad ghost	hantu sedih
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	Hantu itu hampir tidak terlihat. Itu terlihat seperti titik cahaya redup tak berbentuk dengan wajah sedih.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	Halo petualang... Dulu aku sama seperti Anda - kuat dan percaya diri... tapi sekarang saya sudah mati... Tapi saya tidak bisa meninggalkan tempat ini... Tidak sampai aku menemukan _bunga rose keringku_... Itu sangat berguna untukku... Beberapa monster mencurinya dari tubuhku...
Please... Help me... _Find the rose_...	Tolong... Bantu saya... Carikan bunga itu...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	Ya! Ya!!! Ini dia! Mohon berikan padaku! Dan Anda boleh mengambil salah satu item ini, mungkin mereka akan berguna di petualangan Anda.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	Halo petualang... Saat saya sepertimu - kuat dan percaya diri... dan sekarang aku mati... Tapi aku tidak bisa meninggalkan tempat ini... Tidak sampai saya balas dendam.... Bunuh...Tikus Busuk_, yang telah mengambil nyawaku...
Please... Help me... _Slay the abomination_...	Tolong... Tolong aku... Bunuh mahluk itu...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	Ya! Makhluk buruk itu telah terbunuh dan saya akhirnya dapat beristirahat... Mohon ambil salah satu item ini, mungkin mereka akan berguna di petualangan Anda.
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	Imp adalah iblis yang lebih rendah. Mereka terkenal baik karena kekuatan maupun bakat sihir mereka, tetapi mereka cukup pintar dan mudah bergaul. Banyak imp lebih suka hidup di antara non-iblis.
evaded	menghindar
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	Apakah Anda seorang petualang? Saya suka petualang! Anda selalu dapat mengandalkan mereka jika ada sesuatu yang perlu dibunuh. Apakah saya benar? Untuk bounty tentunya ;)\nDalam kasus saya ini adalah _golems_ yang harus dibunuh. Anda tahu, saya akan memulai bisnis kecil di sini, tetapi golem bodoh ini buruk untuk bisnis! Sangat sulit untuk bernegosiasi dengan bongkahan granit yang berkeliaran, sial! Jadi tolong, bunuh... katakanlah _6 dari mereka_ dan hadiah menjadi milikmu.
How is your golem safari going?	Bagaimana perjalanan golem safari Anda?
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _monks_ who need to be killed. You see, I'm going to start a little business here, but these lunatics don't buy anything themselves and will scare away other customers. So please, kill... let's say _8 of them_ and a reward is yours.	Apakah Anda seorang petualang? Saya suka petualang! Anda selalu dapat mengandalkan mereka jika ada sesuatu yang perlu dibunuh. Apakah saya benar? Untuk hadiah, tentu saja ;)\nDalam kasus saya ini adalah _monks_ yang perlu dibunuh. Anda tahu, saya akan memulai bisnis kecil di sini, tetapi orang gila ini tidak membeli apa pun sendiri dan akan menakuti pelanggan lain. Jadi tolong, bunuh... katakanlah _8 dari mereka_ dan hadiah menjadi milikmu.
Oh, you are still alive! I knew that your kung-fu is stronger ;) Just don't forget to grab these monks' tokens.	Ah, kamu masih hidup! Saya tahu bahwa kung-fu Anda lebih kuat ;) Jangan lupa untuk mengambil token biksu ini.
See you, %s!	Sampai jumpa, %s!
Psst, %s!	Psst, %s!
ambitious imp	imp ambisius
Imps are lesser demons. They are notable for neither their strength nor their magic talent. But they are quite smart and sociable, and many of imps prefer to live and do business among non-demons.	Imp adalah iblis yang lebih rendah. Mereka terkenal baik karena kekuatan maupun bakat sihir mereka. Tapi mereka cukup pintar dan mudah bergaul, dan banyak dari imp lebih suka hidup dan berbisnis di antara non-iblis.
Hello, friend!	Hai, teman!
mirror image	Bayangan cermin
This illusion bears a close resemblance to you, but it's paler and twitches a little.	Ilusi ini sangat mirip dengan Anda, tetapi lebih pucat dan sedikit berkedut.
rat king	raja tikus
This rat is a little bigger than a regular marsupial rat and it's wearing a tiny crown on its head.	Tikus ini lebih besar dari tikus marsupial dan memakai mahkota kecil di kepalanya.
I'm not sleeping!	Saya tidak tidur!
