Pixel Dungeon	點陣地城
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	獻祭之火在此燃燒。所有觸碰到此火焰的生物都會被標記為獻給地城之靈的祭品。
Marked for sacrifice	被標記為祭品
A greenish cloud of toxic gas is swirling here.	微呈綠色的毒氣正瀰漫在此處。
You died from a toxic gas..	你死於毒氣了..
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	啜飲一口後，你感到知識注入了腦海。現在你對自己裝備的物品瞭若指掌，也能感應到此樓層所有的物品，並知曉其中所有的秘密。
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	這口井中的水散發著智識的力量。啜飲一口來解開裝備物品的所有秘密。
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	這口井中的水散發著健康的力量。啜飲一口來治癒傷口並恢復飽足。
As you take a sip, you feel your wounds heal completely.	啜飲一口後，你感到傷口完全治癒了。
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	這口井中的水散發著轉化的力量。將一件物品扔入井中來讓它轉變成其他東西。
Everything is covered with a thick web here.	這裡的所有東西都覆蓋著厚厚的蜘蛛網。
Amok	狂亂
Barkskin	樹皮術
Bleeding	流血
You bled to death...	你流血而死了...
Blinded	失明
Burning	燃燒
%s burns up!	%s著火了！
You burned to death...	你被燒死了...
Charmed	被魅惑
Combo	連擊
%d hit combo!	%d 連擊！
Crippled	重傷
Frozen	凍結
Fury	狂怒
Immune to gases	免疫氣體
You are hungry.	你餓了。
You are starving!	你快餓死了！
You starved to death...	你餓死了...
Hungry	飢餓
Starving	快餓死了
Invisible	隱形
Levitating	浮空
Illuminated	照明
Mind vision	心靈視界
Caustic ooze	腐蝕黏液
%s killed you...	%s殺死了你...
Paralyzed	麻痺
Poisoned	中毒
You died from poison...	你中毒而死了...
Blinded with rage	被怒氣沖昏了頭
Rooted	被地縛
Shadowmelded	影遁
Slowed	緩速
Zeroed in	瞄準完成
Vertigo	頭昏
Weakened	虛弱
backpack	背包
Real description is coming soon!	實際說明即將推出！
You hear something died in the distance	你聽到有東西在遠處死去
echo of 	 的回音
%1$s: "%2$s"	%1$s：「%2$s」
This %s is sleeping	%s睡著了
This %s is hunting	%s正在尋找獵物
This %s is fleeing	%s正在逃跑
This %s is passive	%s處於被動狀態
acidic scorpio	強酸毒蠍
albino rat	白化鼠
crazy bandit	瘋狂土匪
vampire bat	吸血蝙蝠
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	這些敏捷又頑強的穴頂生物透過每次成功攻擊來補充生命，可以擊敗比體型比牠們大得多的對手。
gnoll brute	豺狼蠻人
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	蠻人是豺狼人中最大、最壯又最強悍的。當嚴重受傷時，牠們會陷入暴怒而對敵人造成更大的傷害。
%s becomes enraged!	%s暴怒了！
enraged	暴怒
sewer crab	下水道螃蟹
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	這些大型的螃蟹位於下水道食物鏈的頂端。牠們非常迅速，而厚實的外殼能夠抵擋沉重的打擊。
curse personification	詛咒的化身
This creature resembles the sad ghost, but it swirls with darkness. Its face bears an expression of despair.	這種怪物和哀傷鬼魂很類似，但有黑暗盤據著。它的臉上帶著絕望的表情。
DM-300	DM-300
DM-350	DM-350
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	這台機器是矮人在幾世紀前製造的。後來矮人開始用巨石像、元素生物甚至惡魔來取代機器，最終導致其文明的滅亡。DM-300 和類似的機器們通常被用來建築和採礦，並在某些情況下用於城市防禦。
DM-300 repairs itself!	DM-300 自行維修了！
Mission failed. Shutting down.	任務失敗。關機中。
Unauthorized personnel detected.	發現未經授權的人員。
fire elemental	火元素
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	遊蕩的火元素是召喚強大實體時的副產物。它們天性太混亂，就算是最強的惡魔術者也無法控制。
evil eye	邪惡之眼
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	這種惡魔的另一個名字是「憎恨之球」，因為當看到敵人，它會不顧一切的使用死亡凝視，經常忽略同伴並傷害到它們。
%s's deathgaze killed you...	%s的死亡凝視殺死了你...
fetid rat	惡臭鼠
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	這隻有袋鼠類比一般的大隻多了，並帶著一團臭氣。
gnoll scout	豺狼人斥候
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	豺狼人是像豺狼的人形生物。牠們住在下水道和地城之中，不時冒險到地表進行掠奪。豺狼人斥候是群體中的一般成員，不如蠻人強壯也不如薩滿聰明。
golem	巨石像
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	矮人嘗試將機械知識與新發現的元素力量結合。他們使用了大地精魂作為巨石像機械軀體的「靈魂」，據信這是最容易控制的精魂。儘管如此，儀式中只要出一點微小的差錯就會造成大爆炸。
Goo	黏膠怪
spawn of Goo	黏膠怪的後代
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	人們對黏膠怪知道的不多。它很有可能根本不是一種生物，而是擁有基礎意志的下水道物質聚合體。
Goo is pumping itself up!	黏膠怪鼓起來了！
glurp... glurp...	咕嚕... 咕嚕...
GLURP-GLURP!	咕嚕─咕嚕！
!!!	!!!
King of Dwarves	矮人國王
undead King of Dwarves	不死的矮人國王
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	矮人最後的國王以其對操控生死的深刻瞭解而聞名。他說服了宮廷的成員參加一場原本應該讓他們青春永駐的儀式。但最後他是唯一得到這個結果的人──還附帶了一隊不死大軍。
You cannot kill me, %s... I am... immortal...	你殺不死我的，%s... 我是... 不朽的...
Arise, slaves!	起來吧，奴隸們！
How dare you!	你竟敢！
undead dwarf	不死矮人
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	這些依矮人國王意志而起身的不死矮人曾是他的宮廷成員。他們的外表像是長了驚人濃密鬍鬚的骷髏。
mimic	寶箱怪
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	寶箱怪一種能夠隨意變形的魔法生物。在地城中幾乎總是選擇變成寶箱，因為它們深知如何引誘冒險者。
dwarf monk	矮人武僧
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	這些武僧都是狂熱分子，致力於保護城市的秘密不為外人所知。他們不使用任何防具或武器，全憑拳腳功夫。
parried	格檔
%1$s has knocked the %2$s from your hands!	%1$s擊落了你手上的%2$s！
giant piranha	巨大食人魚
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	這些肉食魚類並不是地下水池的原生棲息生物。牠們是被特地培育來保護水底的寶藏庫的。
marsupial rat	有袋鼠類
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	有袋鼠類是具有攻擊性但相對較弱的下水道生物。牠們只在數量多時比較危險。
scorpio	毒蠍
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	這些巨大的類節肢惡魔生物會用各種方法避免近戰，而在遠方發射讓人重傷的鋸齒尖刺。
senior monk	資深武僧
gnoll shaman	豺狼人薩滿
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	最聰明的豺狼人能夠掌握薩滿法術。豺狼人薩滿喜歡運用戰鬥法術來彌補力量的不足，也毫不遲疑地使用在質疑他們部族地位的人身上。
%s's lightning bolt killed you...	%s的閃電箭殺死了你...
shielded brute	持盾豺狼蠻人
skeleton	骷髏
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	骷髏是由倒楣的冒險者和地城住民的屍骨組成的，而從下部樓層放射的邪惡魔法使其活動起來。當它們承受一定的傷害後，會瓦解成爆炸的骨頭。
blocked	抵擋
You were killed by the explosion of bones...	你被爆炸的骨頭殺死了...
cave spinner	洞穴織網者
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	這些綠色的毛茸茸洞穴蜘蛛盡量避免直接作戰，而是在遠方等著犧牲者上門，困在蜘蛛網中後用帶毒的啃咬讓他們緩慢地死去。
animated statue	活動雕像
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	你可能覺得這只是地城裡又一個醜陋的雕像，但它發著紅光的雙眼暴露了身分。雖然雕像本身是石頭做的，但它握著的_%s_看起來是真的。
succubus	魅魔
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	魅魔是看起來像性感女性（微哥德風格）的惡魔。它能用魔法魅惑英雄，在效果結束前對方將無法進行任何攻擊。
swarm of flies	蒼蠅群
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	這群致命的蒼蠅憤怒地嗡鳴著。每次非魔法攻擊都會把牠們分成兩群較小但一樣危險的群體。
Tengu	天狗
memory of Tengu	天狗的回憶
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	天狗是古老刺客家族的成員，該家族就叫做天狗。這些刺客以大量使用手裡箭和陷阱而聞名。
Free at last...	終於自由了...
Gotcha, %s!	抓到你了，%s！
crazy thief	瘋狂盜賊
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	地城較深的樓層一直都是各種罪犯的藏身之處，但不是所有人都能在這麼長時間不見天日的情況下保持腦袋清醒。這些瘋狂的盜賊和土匪早就忘了自己是誰以及為何而偷竊。
%1$s stole %2$s from you!	%1$s從你身上偷走了%2$s！
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n%1$s正拿著_%2$s_。很明顯是偷來的。
dwarf warlock	矮人術士
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	當矮人的注意力從工程技術轉向祕法，術士便開始在城市中掌權。他們一開始使用元素魔法，但很快就轉移到惡魔法術和亡靈巫術。
%s's shadow bolt killed you...	%s的暗影箭殺死了你...
wraith	怨靈
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	怨靈是一心想復仇的罪人靈魂，因為它的墳墓或墓碑被驚擾了。由於形體虛渺，很難用普通武器擊中。
Yog-Dzewa	猶格─殆瓦
echo of Yog-Dzewa	猶格─殆瓦的迴像
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	猶格─殆瓦是一名古代神祇，來自混沌界域的強大實體。在一個世紀前，古代矮人勉強戰勝了祂的惡魔大軍，卻無法殺死古神本身。他們只能將祂囚禁在城市下方的大殿，相信祂已經太虛弱而無法再次作亂。
...	...
Hope is an illusion...	希望只是一種幻覺...
rotting fist	腐敗之拳
burning fist	灼燒之拳
god's larva	神之蛆
golden bee	金蜜蜂
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	金蜜蜂雖然身軀嬌小，卻會兇悍地保衛牠們的主人。不過牠們沒辦法活太久。
This %s is wandering	%s正在徘徊
troll blacksmith	巨魔鐵匠
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	這個巨魔鐵匠看起來就跟所有巨魔一樣：又高又瘦，皮膚的顏色和質地都像岩石一樣。巨魔鐵匠正在用不合比例的小工具笨拙地修理東西。
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	嗨人類！想有點用處嗎，嗯？拿著這把十字鎬去幫我挖點_暗金礦_來吧，_15 個_應該就夠了。什麼意思，我要怎麼回報？你這貪婪的...\n好，好，我沒錢給你，但我可以幫你做點鐵工。你還真幸運，我是這裡唯一的鐵匠。
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	嗨人類！想有點用處嗎，嗯？拿著這把十字鎬去幫我_殺隻蝙蝠_吧，我需要上面沾的牠的血。什麼意思，我要怎麼回報？你這貪婪的...\n好，好，我沒錢給你，但我可以幫你做點鐵工。你還真幸運，我是這裡唯一的鐵匠。
Are you kiddin' me? Where is my pickaxe?!	你在耍我嗎？我的十字鎬呢？
Dark gold ore. 15 pieces. Seriously, is it dat hard?	暗金礦。15 個。說真的，有這麼難嗎？
I said I need bat blood on the pickaxe. Chop chop!	我說過我需要十字鎬上的蝙蝠血。快快！
Oh, you have returned... Better late dan never.	哦，你回來了... 晚到總比沒到好。
I'm busy. Get lost!	我很忙。滾開！
your %s certainly looks better now	你的%s看起來真的更棒了
Select 2 different items, not the same item twice!	選取兩件不同的物品，而不是同樣的物品兩次！
Select 2 items of the same type!	選取兩件相同類型的物品！
I need to know what I'm working with, identify them first!	我得知道自己在處理什麼東西，先辨識它們！
I don't work with cursed items!	我不處理被詛咒的物品！
It's a junk, the quality is too poor!	這根本是垃圾，品質太爛了！
I can't reforge these items!	我無法再鑄這些物品！
sad ghost	哀傷鬼魂
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	這個鬼魂幾乎看不見。就像是微弱的模糊光點加上一張哀傷的臉。
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	你好冒險者...我曾經跟你一樣──強壯又自信...而現在我死了...卻無法離開這個地方...除非我拿回我的_乾燥玫瑰_...它對我很重要...某個怪物把它從我的屍體上偷走了...
Please... Help me... _Find the rose_...	拜託... 幫幫我... _找到那朵玫瑰_...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	對！對!!! 就是它！請把它給我！你可以拿走其中一個物品，也許對你的旅途會有幫助...
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	你好冒險者...我曾經跟你一樣──強壯又自信...而現在我死了...卻無法離開這個地方...除非我報了仇...殺了那隻_惡臭鼠_，就是牠奪走了我的生命...
Please... Help me... _Slay the abomination_...	拜託... 幫幫我... _殺了那討厭的東西_...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	太好了！那醜陋的怪物被擊敗了，我終於可以安息了... 請拿走其中一個物品，也許對你的旅途會有幫助...
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place, as I am bound by a horrid curse... Please... Help me... _Destroy the curse_...	你好冒險者...我曾經跟你一樣──強壯又自信...而現在我死了...卻無法離開這個地方，因為我被可怕的詛咒給束縛住了... 拜託... 幫幫我... _破除這個詛咒_...
Thank you, %s! The curse is broken and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	謝謝你，%s！詛咒破除了，我終於可以安息了... 請拿走其中一個物品，也許對你的旅途會有幫助...
Yes, I will do it for you	好，我會幫你
No, I can't help you	不，我幫不了你
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	小鬼是比較低階的惡魔。它們的力量和魔法天賦並不出色，但它們相當聰明且善於交涉。許多小鬼比較喜歡跟非惡魔族群生活在一起。
evaded	迴避
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	你是冒險者嗎？我最喜歡冒險者了！想殺什麼的時候靠他們就對了，我說的沒錯吧？有賞金，當然囉 ;)\n就我而言要殺的是_巨石像_。你知道，我正準備在這裡做些小生意，但這些愚蠢的巨石像對我的生意不利！要跟這些遊蕩的石塊談判實在有夠難，去死吧！所以拜託了，殺掉... 我看_6 隻_好了，獎賞就是你的了。
How is your golem safari going?	你的巨石像獵殺進行得如何？
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _monks_ who need to be killed. You see, I'm going to start a little business here, but these lunatics don't buy anything themselves and will scare away other customers. So please, kill... let's say _8 of them_ and a reward is yours.	你是冒險者嗎？我最喜歡冒險者了！想殺什麼的時候靠他們就對了，我說的沒錯吧？有賞金，當然囉 ;)\n就我而言要殺的是_武僧_。你知道，我正準備在這裡做些小生意，但這些瘋子自己什麼都不買，還會嚇走其他客人。所以拜託了，殺掉... 我看_8 個_好了，獎賞就是你的了。
Oh, you are still alive! I knew that your kung-fu is stronger ;) Just don't forget to grab these monks' tokens.	哦，你還活著！我就知道你的功夫比較厲害 ;) 別忘了拿走這些武僧的令牌。
See you, %s!	再見囉，%s！
Psst, %s!	欸，%s！
ambitious imp	野心勃勃的小鬼
Imps are lesser demons. They are notable for neither their strength nor their magic talent. But they are quite smart and sociable, and many of imps prefer to live and do business among non-demons.	小鬼是比較低階的惡魔。它們的力量和魔法天賦並不出色，但它們相當聰明且善於交涉。許多小鬼比較喜歡跟非惡魔族群生活和做生意。
Hello, friend!	哈囉，朋友！
mirror image	鏡像
This illusion bears a close resemblance to you, but it's paler and twitches a little.	這個鏡像的外觀跟你很像，但比較蒼白並微微地抽搐著。
rat king	鼠王
This rat is a little bigger than a regular marsupial rat and it's wearing a tiny crown on its head.	這隻老鼠比一般的有袋鼠類大了點，頭上還戴著小小的王冠。
I'm not sleeping!	我沒在睡覺！
What is it? I have no time for this nonsense. My kingdom won't rule itself!	什麼事？我沒空理會這種沒意義的事。我的王國可不會統治自己啊！
shopkeeper	店老闆
This stout guy looks more appropriate for a trade district in some large city than for a dungeon. His prices explain why he prefers to do business here.	這個矮胖的傢伙看起來比較適合在大城市商業區出現，而不是地城。但他的價格解釋了為何選擇在這裡做生意。
Select an item to sell	選擇販售的道具
old wandmaker	老製杖師
This old but hale gentleman wears a slightly confused expression. He is protected by a magic shield.	這位年老但硬朗的紳士帶著有點困惑的表情。他正受到一個魔法盾的保護。
absorbed	吸收
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _Rotberry seed_. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	哦，在這種地方遇上一位體面的人真讓人驚喜！我是來這裡尋找一種稀有材料的──_墮落之果的種子_。身為一位魔法師，我可以從怪物手中保護自己，但一下子就迷路了，真丟臉。也許你能幫助我？我很樂意用其中一把最好的法杖來回報你。
Any luck with a _Rotberry seed_, %s? No? Don't worry, I'm not in a hurry.	有找到_墮落之果的種子_嗎，%s？沒關係，我不急。
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - _corpse dust_. It can be gathered from skeletal remains and there is an ample number of them in the dungeon. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	哦，在這種地方遇上一位體面的人真讓人驚喜！我是來這裡尋找一種稀有材料的──_屍塵_。它可以從骨骸上收集到，而這個地城中有大量這種東西。身為一位魔法師，我可以從怪物手中保護自己，但一下子就迷路了，真丟臉。也許你能幫助我？我很樂意用其中一把最好的法杖來回報你。
Any luck with _corpse dust_, %s? Bone piles are the most obvious places to look.	有找到_屍塵_嗎，%s？骨骸堆是最明顯的搜尋處。
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _phantom fish_. You can catch it with your bare hands, but it's very hard to notice in the water. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	哦，在這種地方遇上一位體面的人真讓人驚喜！我是來這裡尋找一種稀有材料的──_幻影魚_。它們可以用徒手抓住，但在水中非常不容易注意到它們。身為一位魔法師，我可以從怪物手中保護自己，但一下子就迷路了，真丟臉。也許你能幫助我？我很樂意用其中一把最好的法杖來回報你。
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	有找到_幻影魚_嗎，%s？你也許可以在某個水池中找找看。
A hidden pressure plate clicks!	觸動到一塊隱藏的壓板了！
Floor	地板
Grass	草
Water	水
Wall	牆壁
Closed door	關著的門
Open door	開啟的門
Depth entrance	樓層入口
Depth exit	樓層出口
Embers	灰燼
Locked door	鎖上的門
Pedestal	台座
Barricade	路障
High grass	草叢
Locked depth exit	鎖上的樓層出口
Unlocked depth exit	解鎖的樓層出口
Sign	標牌
Well	井
Empty well	空井
Statue	雕像
Toxic gas trap	毒氣陷阱
Fire trap	火焰陷阱
Paralytic gas trap	麻痺毒氣陷阱
Poison dart trap	毒鏢陷阱
Alarm trap	警報陷阱
Lightning trap	閃電陷阱
Gripping trap	夾箝陷阱
Summoning trap	召喚陷阱
Triggered trap	觸發過的陷阱
Bookshelf	書架
Alchemy pot	煉金釜
\\?\\?\\?	\\?\\?\\?
You can't see the bottom.	看不到它的底。
In case of burning step into the water to extinguish the fire.	要是著火了，走進水裡可以滅火。
Stairs lead up to the upper depth.	通往上一樓層的階梯。
Stairs lead down to the lower depth.	通往下一樓層的階梯。
Embers cover the floor.	灰燼覆滿地面。
Dense vegetation blocks the view.	茂密的植物擋住了視線。
This door is locked, you need a matching key to unlock it.	這扇門鎖住了，你需要對應的鑰匙來打開它。
Heavy bars block the stairs leading down.	沉重的鐵條封住了往下的階梯。
The wooden barricade is firmly set but has dried over the years. Might it burn?	這木頭路障設置得很堅固，但已隨著歲月變得乾燥。也許可以燒？
You can't read the text from here.	從這裡看不到上面的字。
Stepping onto a hidden pressure plate will activate the trap.	踏上隱藏的壓板會啟動陷阱。
The trap has been triggered before and it's not dangerous anymore.	這個陷阱已經觸發過，不具危險性了。
Someone wanted to adorn this place, but failed, obviously.	有人想要裝飾這個地方，但顯然失敗了。
Drop some seeds here to cook a potion.	扔進一些種子來調配藥劑。
The well has run dry.	這口井已經乾涸了。
Fluorescent moss	螢光苔
Fluorescent mushrooms	螢光蘑菇
Freezing cold water.	冰冷的水。
The ladder leads up to the upper depth.	這把梯子通往上方的樓層。
The ladder leads down to the lower depth.	這把梯子通往下方的樓層。
Huge mushrooms block the view.	巨大的蘑菇擋住了視線。
A vein of some ore is visible on the wall. Gold?	牆上可以看到某種礦脈。是金礦嗎？
Who would need a bookshelf in a cave?	誰會在洞穴裡需要書架呢？
A ramp leads down to the lower depth.	通往下一樓層的坡道。
The statue depicts some dwarf standing in a heroic stance.	這個雕像刻劃著英雄站姿的矮人。
The rows of books on different disciplines fill the bookshelf.	一排排不同領域的書籍放滿了書架。
Books in ancient languages smolder in the bookshelf.	用古代語言寫成的書籍鬱積在書架上。
Cold lava	冷卻的岩漿
Embermoss	灰燼苔
Emberfungi	灰燼菇
Pillar	柱子
It looks like lava, but it's cold and probably safe to touch.	看起來像岩漿不過已經冷卻了，碰了應該沒事。
The pillar is made of real humanoid skulls. Awesome.	這柱子是用真正的人形頭顱做成的。讚啦。
Suspiciously colored water	帶著可疑顏色的水
High blooming flowers	高大的盛開花朵
A ramp leads up to the upper depth.	通往上一樓層的斜坡。
A ramp leads down to the Inferno.	通往地獄的坡道。
Several tiles are missing here.	這裡少了一些地磚。
Thick carpet covers the floor.	地上鋪著厚厚的地毯。
Dark cold water.	暗沉又冰冷的水。
There are old blood stains on the floor.	地板上有些舊血漬。
This is probably a vestige of a prison library. Might it burn?	這可能是監獄圖書館的殘跡。也許可以燒？
Murky water	混濁的水
Wet yellowish moss covers the floor.	潮濕的暗黃色苔癬覆蓋在地面上。
The bookshelf is packed with cheap useless books. Might it burn?	這個書架塞滿了廉價的垃圾書。也許可以燒？
Select a seed to throw	選擇要扔入的種子
Chasm	深淵
Yes, I know what I'm doing	是的，我知道我在做什麼
No, I changed my mind	不，我改變心意了
Do you really want to jump into the chasm? You can probably die.	真的要跳進這深淵嗎？你可能會死去。
You fell to death...	你摔死了...
What are you doing here?!	你怎麼會在這裡?!
As you try to read the sign it bursts into greenish flames.	你試圖閱讀標牌時，它燒成了一團綠色的火焰。
Don't overestimate your strength, use weapons and armor you can handle.	別高估自己的力量，使用你可以掌握的武器和防具。
Not all doors in the dungeon are visible at first sight. If you are stuck, search for hidden doors.	不是所有地城中的門都是放眼可見的。如果你被困住了，找找看隱藏的門。
Remember, that raising your strength is not the only way to access better equipment. You can go the other way, lowering its strength requirement with Scrolls of Upgrade.	記住，提升自己的力量不是能夠使用更好裝備的唯一方式。你也可以採取另一種方式，用升級卷軸降低力量需求。
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	你可以在地城深處樓層的商店花用金幣。第一間是在第六層。
Beware of Goo!	小心黏膠怪！
Pixel-Mart. All you need for successful adventure!	點陣商店──這裡有成功冒險必備的所有商品！
Identify your potions and scrolls as soon as possible. Don't put it off to the moment when you actually need them.	盡快辨識你的藥劑和卷軸。別拖到你真正需要用到的時候。
Being hungry doesn't hurt, but starving does hurt.	肚子餓沒關係，但快餓死就有事了。
Surprise attack has a better chance to hit. For example, you can ambush your enemy behind a closed door when you know it is approaching.	突襲擊中的機率較高。例如你可以在一扇關閉的門後面伏擊敵人，若你知道它正在接近。
Don't let The Tengu out!	別把天狗放出來！
Pixel-Mart. Spend money. Live longer.	點陣商店。錢離手，活更久。
When you're attacked by several monsters at the same time, try to retreat behind a door.	當你同時被許多怪物攻擊時，試著退到門後。
If you are burning, you can't put out the fire in the water while levitating.	如果你著火了，無法在浮空時站進水中滅火。
There is no sense in possessing more than one Ankh at the same time, because you will lose them upon resurrecting.	同時持有超過一個生命之符是沒有意義的，因為復活時會失去它們。
DANGER! Heavy machinery can cause injury, loss of limbs or death!	危險！重型機械可能會造成受傷、肢體損害或死亡！
Pixel-Mart. A safer life in dungeon.	點陣商店。讓你擁有更安全的地城生活。
When you upgrade an enchanted weapon, there is a chance to destroy that enchantment.	升級一件有附魔的武器時，有一定機率會摧毀該附魔。
Weapons and armors deteriorate faster than wands and rings, but there are more ways to fix them.	武器和防具損壞得比法杖和戒指快，但也有比較多方法能夠修復。
The only way to obtain a Scroll of Wipe Out is to receive it as a gift from the dungeon spirits.	取得殲滅卷軸的唯一方式是由地城之靈將它作為禮物送給你。
No weapons allowed in the presence of His Majesty!	在陛下面前不得攜帶武器！
Pixel-Mart. Special prices for demon hunters!	點陣商店。惡魔獵人可享有特別折扣！
