Play	Грати
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	Хоча ця сокира і не сильно і важка, проте все одно потребує значно сили для ефективного використання.
A cloud of confusion gas is swirling here.	Тут крутиться хмара збентежуючого газу.
A fire is raging here.	Тут вирує полум'я.
Shafts of light pierce the gloom of the underground garden.	Стовп світла пронизує морок підземного саду.
A cloud of paralytic gas is swirling here.	Тут крутиться хмара з паралітичним газом.
A greenish cloud of toxic gas is swirling here.	Тут крутиться зелена хмара токсичного газу.
You died from a toxic gas..	Ти отруївся токсичним газом...
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	Вода цієї криниці випромінює силу знання. Зроби ковток, аби розкрити секрети свого спорядження.
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	Зробивши ковток, ти відчуваєш, як знання сповнюють твій розум. Тепер ти знаєш все про речі, які одягнуті на тобі. Також ти відчуваєш всі предмети на рівні, та знаєш його секрети.
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	Вода цього колодязя випромінює силу здоров'я. Зроби ковток, аби залікувати свої рани та вгамувати голод.
As you take a sip, you feel your wounds heal completely.	Зробивши ковток твої відчуваєш як твої рани повністю загоїлися.
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	Вода цього колодязя випромінює силу змін. Кинь в нього предмет, аби змінити його на дещо інше.
Everything is covered with a thick web here.	Все навкруги покрито павутинням.
Amok	Шалений
Barkskin	Шкіра-кора
Bleeding	Кровотеча
You bled to death...	Твоя кровотеча призвела до смерті...
Blinded	Засліплений
Burning	У вогні
%s burns up!	%s горить!
You burned to death...	Ти згорів заживо...
Charmed	Зачарований
Combo	Комбо
%d hit combo!	%d ударів комбо!
Crippled	Травмований
Frozen	Заморожений
Fury	Розлючений
You starved to death...	Ти помер від виснаження...
Hungry	Голодний
Starving	Виснажений
Invisible	Невидимий
Levitating	Левітуєш
Illuminated	Світишся
Mind vision	Думковий зір
Caustic ooze	Каустична Смола
%s killed you...	%s вбив тебе...
Paralyzed	Паралізований
Poisoned	Отруєний
You died from poison...	Ти помер від отруєння...
Rooted	Сплутаний
Shadowmelded	Злився з тінню
Slowed	Сповільнений
Vertigo	Запаморочений
Weakened	Послаблений
backpack	рюкзак
Real description is coming soon!	Справжній опис буде пізніше!
You hear something died in the distance	Ти чуєш, що щось померло в далечі
This %s is sleeping	%s спить
This %s is hunting	%s полює
This %s is fleeing	%s рятується
This %s is passive	%s байдикує
acidic scorpio	кислотний скорпіон
albino rat	щур-альбінос
crazy bandit	божевільний злочинець
vampire bat	кажан-вампір
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	Ці шустрі надокучливі мешканці печер здатні подолати більш крупного супротивника за рахунок того, що з кожним укусом вони поновлюють своє здоров'я.
gnoll brute	гнолл громила
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	Громили - найбільші, найсильніші та найвитриваліші з усіх гноллів. Маючи значні пошкодження, вони здатні впадати в лють, завдаючи значної шкоди супротивнику.
%s becomes enraged!	%s розлютився!
enraged	розлючений
sewer crab	стоковий краб
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	Ці великі краби розташувалися на верхівці харчової ланки в каналізації. Вони надзвичайно швидкі, а їхній хітин здатний витримати велику кількість ударів.
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	Цю машину створено дворфами багато століть тому. Згодом вони почали замінювати машини големами, елементалями й навіть демонами. Що й призвело до загибелі їхньої цивілізації. Машини, на кшталт DM-300, призначені для будівельних та шахтарських функцій, проте, в разі необхідності, могли захищати місто.
DM-300 repairs itself!	DM-300 ремонтує сам себе!
Mission failed. Shutting down.	Місію провалено. Вимикаюсь.
Unauthorized personnel detected.	Виявлено неавторизовану персону.
fire elemental	вогняний елементаль
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	Вогняні елементалі - це побічний продукт прикликання великих сутностей. Через свою хаотичну природу, воля цих створінь не піддається підкоренню навіть видатним демонологам.
evil eye	зле око
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	Одне з імен цього демона: шар ненависті, оскільки при потраплянні ворога в полі зору, той звертає на нього свій погляд смерті, не беручі до уваги, що може завдати шкоди союзникам.
%s's deathgaze killed you...	%s вбиває тебе поглядом смерті...
fetid rat	смердючий щур
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	Цей сумчастий щур більший ніж звичайний, і він оточений смердючою хмарою.
gnoll scout	гнолл розвідник
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	Гнолли - гієноподібні гуманоїди. Вони проживають в підземеллях, каналізаціях, періодично роблячи набіги на поверхню. Гнолл-розвідник - типовий представник зграї, він не настільки сильний, як громила, і не настільки розумний, як шаман.
golem	голем
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	Дворфи намагалися поєднати механізми зі ново-отриманими знаннями про природу стихій. Духи землі замінювали "душу" механічного каркаса голема, вважалось, що їх легше контролювати. Попри це, найдрібніша неточність в ритуалі могла призвести до нищівних наслідків.
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	Про Жижу відомо небагато. Цілком можливо, що це навіть не істота, а конгломерат речовин з каналізації, який набув зачатків вільної волі. У будь-якому разі, очевидно, що тут діє темна магія.
Goo is pumping itself up!	Жижа нагнічує себе!
glurp... glurp...	хлюп... хлюп...
GLURP-GLURP!	ХЛЮП-ХЛЮП!
!!!	!!!
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	Останній король дворфів мав глибокі пізнання в областях життя та смерті. Він переконав придворну свиту взяти участь в ритуалі, який обіцяв вічну молодість. В результаті її отримав лише сам король, отримавши армію нежиті в якості бонусу.
You cannot kill me, %s... I am... immortal...	Ти не можеш вбити мене, %s... Я... безсмертний...
Arise, slaves!	Відродіться, слуги!
How dare you!	Як ти наважився!
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	Ці мертві дворфи, які повстали по волі свого царя, буди колись частиною його придворної свити. Ззовні вони виглядають як скелети з значними бородами.
mimic	мімік
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	Міміки - магічні істоти, які здатні набувати будь-якої форми за бажанням. В підземеллях вони, зазвичай, набувають форму скринь, адже саме вони приваблюють шукачів пригод.
dwarf monk	дворф-монах
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	Монахи - це фанатики, які присвятили себе захисту секретів свого народу від чужинців. Вони не покладаються на броню чи зброю, надаючи перевагу битися вручну.
parried	відбився
%1$s has knocked the %2$s from your hands!	%1$s вибив %2$s з твоїх рук!
giant piranha	велика піранья
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	Ці м'ясоїдні рибки не є звичайними мешканцями підземелля, вони були спеціально виведені для захисту затоплених скарбниць.
marsupial rat	сумчастий щур
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	Сумчасті щури агресивні, але на надто сильні мешканці каналізації. Проте у великій кількості становлять значну загрозу.
scorpio	скорпіон
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	Ці величезні членистоногі намагаються уникати ближнього бою, стріляючи отруйними голками з великої відстані.
senior monk	старший монах
gnoll shaman	гнолл шаман
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	Найрозумніші з гноллів здатні пізнати магію шаманів. Гнолли шамани залюбки користується будь-якими закляттями, компенсуючи брак фізичної сили, а також аби убезпечити свій статус в суспільстві.
%s's lightning bolt killed you...	%s вбиває тебе розрядом блискавки...
shielded brute	громила-щитовик
skeleton	скелет
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	Скелети - це залишки загиблих мандрівників, які повстали під дією відгуків зловісної магії з глибин підземелля. Через те, що вони вже і так понівечені, вони можуть розлетітися на гострі уламки.
blocked	прикрився
You were killed by the explosion of bones...	Тебе пробило кістяним уламком...
cave spinner	печерний павук
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	Ці пухнасті зелені павуки намагаються уникати прямих сутичок, даючи перевагу очікуванню, доки їхня жертва, заплутана в павутинні, повільно загине від отрути.
animated statue	жива статуя
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	Може здатися, що це просто ще одна звичайна статуя, але червоні очі, що виблискують в темряві, не приховують свої злі наміри. Хоча вона і зроблена з каменю, її _%s_ виглядає справжнім.
succubus	сукуб
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	Сукуби - демони, які набувають подоби гарних (зазвичай в готичному стилі) дівчат. Використовуючи магію, сукуби причаровують героя, позбавляючи його здатності атакувати, доки чари не розвіються.
swarm of flies	рій мух
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	Смертоносний рій злобно дзижчить. Кожна не магічна атака розбиває рій на дві менші частини, кожна з яких не менш небезпечна ніж один цілий.
Tengu	Тенґу
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	Тенґу - члени древнього клану вбивць. Вони відомі своїм уподобанням до пасток та сюрикенів.
Free at last...	Нарешті, свобода...
Gotcha, %s!	Попався, %s!
crazy thief	божевільний злодій
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	Глибинні рівні підземелля завжди слугували надійним схроном для будь-якого злочинця. Проте не кожний міг зберегти здоровий глузд надовго покинувши денне світло. Вже досить давно ці безумні бандити позабували хто вони є, і навіщо займаються своїми темними справами.
%1$s stole %2$s from you!	%1$s вкрав %2$s у тебе!
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n%1$s носить _%2$s_. Звичайно ж крадене.
dwarf warlock	дворф-чорнокнижник
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	Коли інтерес дворфів перескочив з технології на магію, чорнокнижника стали новою елітою. Почавши з магії стихій, вони перейшли на некромантію та демонологію.
%s's shadow bolt killed you...	%s знищує тебе стрілою тіней...
wraith	фантом
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	Фантоми - мстивий дух грішника, чию могилу було понівечено. 
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	Йог-Джева - старий бог, могутня сутність зі світу Хаосу. В давні часи древні дворфи ледь подолали його армію демонів, але вбити самого бога їм не вдалося. Вони заточили його глибині свого міста, переконані, що він занадто слабий, аби вирватися на волю.
...	...
Hope is an illusion...	Сподіваюсь, мені це привиділось...
golden bee	бджола
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	Попри свій малий розмір, бджоли мають звичай люто захищати свій вулик. Хоча живуть вони недовго.
This %s is wandering	%s блукає
troll blacksmith	Троль-коваль
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	Цей коваль-троль нічим не відрізняється від інших тролів: високий, сутулий, шкіра наче каміння за кольором і текстурою. Коваль користується не пропорційно маленькими інструментами.
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Агов, людинка! Хочеш бути чимось корисним, га?  Візьми цю кірку, та наколупай мені _самородків чорного золота_, _штук 15_ буде досить. Скільки заплачу? Ти гляди який жадібний...\nДобре, добре, немає у мене грошей, але я можу запропонувати тобі свою майстерність. Вважай, що ти щасливчик, знайшов єдиного коваля в цій місцині.
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Агов, людинка! Хочеш бути чимось корисним, га?  Візьми цю кірку, та зарубай нею _кажана_, аби вістря було у її крові. Скільки заплачу? Ти гляди який жадібний...\nДобре, добре, немає у мене грошей, але я можу запропонувати тобі свою майстерність. Вважай, що ти щасливчик, знайшов єдиного коваля в цій місцині.
Are you kiddin' me? Where is my pickaxe?!	Ти що, знущаєшся з мене? Де моя кірка?!
Dark gold ore. 15 pieces. Seriously, is it dat hard?	Чорна золота руда. 15 шматків. Ну серйозно, невже це так важко?
I said I need bat blood on the pickaxe. Chop chop!	Я сказав, що вістря має бути у крові кажана. Йди, йди!
Oh, you have returned... Better late dan never.	Ти гляди, повернувся... Краще пізно, ніж ніколи.
I'm busy. Get lost!	Я зайнятий. Зникни!
your %s certainly looks better now	твій %s тепер виглядає краще
Select 2 different items, not the same item twice!	Обери 2 різних предмети, не один і той же двічі!
Select 2 items of the same type!	Обери 2 предмети однакового типу!
I need to know what I'm working with, identify them first!	Я тобі що, довідкове бюро? Сам дізнавайся що то за предмети у тебе!
I don't work with cursed items!	Ти що, я не працюю з проклятими предметами!
It's a junk, the quality is too poor!	Це мотлох, якість взагалі ніяка!
I can't reforge these items!	Я не можу перекувати ці предмети!
sad ghost	Сумний привид
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	Ти ледь можеш розгледіти привида. Він більше схожий на димку з сумним обличчям.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	Привіт, мандрівнику... Колись я був таким же як і ти - сильним та впевненим... Тепер я мертвий... Але не можу покинути це місце... Доки я не знайду свою _посохлу троянду_... Ця річ для мене дуже цінна... Якесь чудовисько потягнуло її з мого бездиханного тіла...
Please... Help me... _Find the rose_...	Прошу... Допоможи мені... Знайди троянду...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	Так! Так!!! Те, що треба! Будь ласка, віддай її мені! І можеш узяти одну з цих речей, вони можуть тобі знадобитися...
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	Привіт, мандрівнику... Колись я був таким же як і ти - сильним та впевненим... Тепер я мертвий... Але не можу покинути це місце... Доки я не завершу свою помсту... Вбий за мене _огидного щура_, який позбавила мене життя...
Please... Help me... _Slay the abomination_...	Прошу... Допоможи мені... Здолай цю тварюку...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	Так! Бридке створення загинуло, і я можу спочити з миром... Будь ласка, візьми будь яку з цих речей, вони можуть тобі знадобитися...
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	Біси - нижчі демони. Вони не славляться своєю силою чи магічною могутністю, але достатньо розумні та охочі до спілкування. Багато хто бісів надають перевагу жити не з демонами.
evaded	ухилився
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	Ти мандрівник? Обожнюю мандрівників! На них завжди можна покластися, якщо треба що-небудь вбити. Чи не так, га? За винагороду, звісно ж ;)\nВ нашому випадку _големи_ дуже потребують свого вбивства. Дивись в чому справа, я хотів розпочати тут одну справу, але ці дурні големи заплутали всі карти! Ходячі шматки граніту не дуже товариські, такі справи! Тому прошу, прибий... скажімо, _6 големів_, і я в боргу не залишуся.
How is your golem safari going?	Як триває твоє сафарі на големів?
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _monks_ who need to be killed. You see, I'm going to start a little business here, but these lunatics don't buy anything themselves and will scare away other customers. So please, kill... let's say _8 of them_ and a reward is yours.	Ти мандрівник? Обожнюю мандрівників! На них завжди можна покластися, якщо треба що-небудь вбити. Чи не так, га? За винагороду, звісно ж ;)\nВ нашому випадку _монахи_ дуже потребують свого вбивства. Дивись в чому справа, я хотів розпочати тут одну справу, але ці фанатики самі нічого не купляють, ще й інших покупців лякають. Тому прошу, прибий... скажімо, _8 монахів_, і я в боргу не залишуся.
Oh, you are still alive! I knew that your kung-fu is stronger ;) Just don't forget to grab these monks' tokens.	О, ти гляди, не помер! Я знав, що твоє кунг-фу сильніше ;) Тільки не забудь зібрати з цих монахів жетони.
See you, %s!	Побачимося, %s!
Psst, %s!	Псст, %s!
ambitious imp	амбітний біс
Imps are lesser demons. They are notable for neither their strength nor their magic talent. But they are quite smart and sociable, and many of imps prefer to live and do business among non-demons.	Біси - нижчі демони. Вони не славляться своєю силою чи магічною могутністю, але достатньо розумні та охочі до спілкування. Багато хто бісів надають перевагу жити та вести бізнес не з демонами.
Hello, friend!	Привіт, друже!
mirror image	двійник
This illusion bears a close resemblance to you, but it's paler and twitches a little.	Ця ілюзія дуже схожа на тебе, трохи бліда та поблискує.
rat king	король щурів
This rat is a little bigger than a regular marsupial rat and it's wearing a tiny crown on its head.	Цей щур більший за інших та й на голові помітно маленьку корону.
I'm not sleeping!	Я не сплю!
What is it? I have no time for this nonsense. My kingdom won't rule itself!	Це ще що таке? Я не маю часу на усілякі дрібниці. Моє королівство само собою не правитиме!
shopkeeper	торговець
This stout guy looks more appropriate for a trade district in some large city than for a dungeon. His prices explain why he prefers to do business here.	Цей трохи пухлий індивідуум більше підходить для торгівлі десь в міському кварталі, а ніж в підземеллі. Хоча, судячи по цінах, йому і тут непогано.
Select an item to sell	Обери предмет для продажу
old wandmaker	старий майстер
This old but hale gentleman wears a slightly confused expression. He is protected by a magic shield.	Цей старий, але міцний на вигляд чолов'яга виглядає трохи стурбованим. Його оточує силовий щит.
absorbed	поглинув
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _Rotberry seed_. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	О, який приємний сюрприз, зустріти гідну людину в такій місцині! Я прийшов сюди в пошуках рідкісного інгредієнту, _насіння Гнилівки_. Як людина, яка знається на магії, я непогано даю ради місцевим монстрам, але заблукати для мене - раз плюнути, от сором, чесне слово. Чи не допоможеш старій людині? Я готовий оплатити твій час однією зі своїх чарівних паличок.
Any luck with a _Rotberry seed_, %s? No? Don't worry, I'm not in a hurry.	Щось вийшло з насінням Гнилівки, %s? Ні? Ну, не переживай, я не поспішаю.
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - _corpse dust_. It can be gathered from skeletal remains and there is an ample number of them in the dungeon. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	О, який приємний сюрприз, зустріти гідну людину в такій місцині! Я прийшов сюди в пошуках рідкісного інгредієнту, _трупного пилу_. Її можна зібрати з залишків кісток, яких тут вистачає. Як людина, яка знається на магії, я непогано даю ради місцевим монстрам, але заблукати для мене - раз плюнути, от сором, чесне слово. Чи не допоможеш старій людині? Я готовий оплатити твій час однією зі своїх чарівних паличок.
Any luck with _corpse dust_, %s? Bone piles are the most obvious places to look.	Як наші пильні справи, %s? Я б в першу чергу оглянув купи кісток.
A hidden pressure plate clicks!	Клацнула прихована натисна плита!
Floor	Підлога
Grass	Трава
Water	Вода
Wall	Стіна
Closed door	Зачинені двері
Open door	Відкриті двері
Depth entrance	Глибокий підйом
Depth exit	Глибокий спуск
Embers	Жарина
Locked door	Заблоковані двері
Pedestal	П'єдестал
Barricade	Барикада
High grass	Висока трава
Locked depth exit	Заблокована драбина вниз
Unlocked depth exit	Розблокована драбина вниз
Sign	Знак
Well	Колодязь
Empty well	Порожній колодязь
Statue	Статуя
Toxic gas trap	Пастка з токсичним газом
Fire trap	Вогняна пастка
Paralytic gas trap	Пастка з паралітичним газом
Poison dart trap	Пастка з отруйними дротиками
Alarm trap	Сигнальна пастка
Lightning trap	Електророзрядна пастка
Gripping trap	Затискальна пастка
Summoning trap	Заклична пастка
Triggered trap	Розряджена пастка
Bookshelf	Книжкова шафа
Alchemy pot	Алхімічний котел
\\?\\?\\?	\\?\\?\\?
You can't see the bottom.	Дна не видно.
In case of burning step into the water to extinguish the fire.	Якщо загоришся, увійди до води, аби загасити полум'я.
Stairs lead up to the upper depth.	Ці сходи ведуть догори.
Stairs lead down to the lower depth.	Ці сходи ведуть вглиб.
Embers cover the floor.	Підлога покрита вугіллям. 
Dense vegetation blocks the view.	Густа рослинність перекриває огляд.
This door is locked, you need a matching key to unlock it.	Ці двері заблоковані, тобі потрібен відповідний ключ, аби відкрити їх.
Heavy bars block the stairs leading down.	Прохід перекрито тяжкими ґратами.
The wooden barricade is firmly set but has dried over the years. Might it burn?	Дерев'яна барикада ладно зібрана, але затрухлявіла за роки. Цікаво, загориться?
You can't read the text from here.	Ти не можеш розгледіти текст звідси.
Stepping onto a hidden pressure plate will activate the trap.	Ставши на приховану пружинну плиту, ти активуєш пастку.
The trap has been triggered before and it's not dangerous anymore.	Пастка вже спрацювала, тепер вона безпечна.
Someone wanted to adorn this place, but failed, obviously.	Хтось хотів прикрасити це місце, але, вочевидь, зазнав невдачі.
Drop some seeds here to cook a potion.	Закинь сюди насіння, аби зварити зілля.
The well has run dry.	Колодязь пересох.
Fluorescent moss	Мох, що світиться
Fluorescent mushrooms	Люмінесцентні гриби
Freezing cold water.	Крижана вода.
The ladder leads up to the upper depth.	Драбина веде догори.
The ladder leads down to the lower depth.	Драбина веде донизу.
Huge mushrooms block the view.	Здоровезний гриб перекриває огляд.
A vein of some ore is visible on the wall. Gold?	На стіні видно відкриту жилу якоїсь руди. Чи то не золото?
Who would need a bookshelf in a cave?	Кому в підземеллі знадобилася книжкова шафа?
A ramp leads down to the lower depth.	Рампа, що веде донизу.
The statue depicts some dwarf standing in a heroic stance.	Статуя показує Дворфа в героїчній позі.
The rows of books on different disciplines fill the bookshelf.	Полки заповнені різноманітними книгами.
Books in ancient languages smolder in the bookshelf.	Цю шафу заповнено книгами, написані мертвою мовою.
Cold lava	Холодна лава
Embermoss	Вугле-мох
Emberfungi	Вугле-гриб
Pillar	Стовп
It looks like lava, but it's cold and probably safe to touch.	Це дуже схоже на лаву, але вона холодна і на дотик безпечна.
The pillar is made of real humanoid skulls. Awesome.	Стовп зроблено з черепів гуманоїдів. Щось неймовірне.
Suspiciously colored water	Вода підозрілого кольору
High blooming flowers	Високий квітучий кущ
A ramp leads up to the upper depth.	Рампа, що веде догори.
A ramp leads down to the Inferno.	Рампа, що веде донизу в пекло.
Several tiles are missing here.	Тут не вистачає кількох плиток.
Thick carpet covers the floor.	Підлогу вкрито щільним килимом.
Dark cold water.	Темна холодна вода.
There are old blood stains on the floor.	Навколо підлога заляпана старою кров'ю.
This is probably a vestige of a prison library. Might it burn?	Схоже на залишки тюремної бібліотеки. Цікаво, загориться?
Murky water	Каламутна вода
Wet yellowish moss covers the floor.	Вологий жовтуватий мох вкрив підлогу.
The bookshelf is packed with cheap useless books. Might it burn?	Полиці заповнені дешевими, безкорисними книжками. Цікаво, загориться?
Select a seed to throw	Обери насіння
Chasm	Провалля
Yes, I know what I'm doing	Так, я знаю що роблю.
No, I changed my mind	Ні, я змінив свою думку
Do you really want to jump into the chasm? You can probably die.	Ти впевнений що бажаєш стрибнути донизу? Можеш розбитися.
You fell to death...	Ти розбився...
What are you doing here?!	Що ти тут робиш?!
Don't overestimate your strength, use weapons and armor you can handle.	Не будь самовпевненим, використовуй доступні для тебе зброю та обладунки.
Not all doors in the dungeon are visible at first sight. If you are stuck, search for hidden doors.	Не всі двері в підземеллі помітні з першого разу. Якщо ти не знаєш куди йти, спробуй пошукати приховані двері.
Remember, that raising your strength is not the only way to access better equipment. You can go the other way, lowering its strength requirement with Scrolls of Upgrade.	Пам'ятай, що підвищення сили - це не єдиний шлях використовувати краще спорядження, ти може піти іншим шляхом, за допомогою сувоїв покращення зменшувати вимоги предметів до сили.
Beware of Goo!	Стережись Жижі!
Pixel-Mart. All you need for successful adventure!	Pixel-Mart - все що тобі потрібно для вдалої пригоди!
Identify your potions and scrolls as soon as possible. Don't put it off to the moment when you actually need them.	Ідентифікуй сувої та зілля якомога раніше. Не відкладай до того моменту, коли вони тобі знадобляться.
Being hungry doesn't hurt, but starving does hurt.	Голод не наносить шкоди, що не скажеш про виснаження.
Surprise attack has a better chance to hit. For example, you can ambush your enemy behind a closed door when you know it is approaching.	Несподівана атака має більшу влучність. Наприклад, ти можеш зачекати ворога за зачиненими дверима, маючи впевненість, що він наближається.
Don't let The Tengu out!	Не випускай Тенґу!
Pixel-Mart. Spend money. Live longer.	Pixel-Mart. Більше витратиш. Довше проживеш.
When you're attacked by several monsters at the same time, try to retreat behind a door.	Коли на тебе нападають декілька монстрів, спробуй відступити за двері.
There is no sense in possessing more than one Ankh at the same time, because you will lose them upon resurrecting.	Немає сенсу тримати при собі більше одного Анкху, вони всі зникнуть при воскресінні.
DANGER! Heavy machinery can cause injury, loss of limbs or death!	НЕБЕЗПЕКА! Тяжка техніка може бути причиною нанесення травм, втрати кінцівок та смерті!
Pixel-Mart. A safer life in dungeon.	Pixel-Mart. Зроби безпечніше своє життя в підземеллі.
When you upgrade an enchanted weapon, there is a chance to destroy that enchantment.	При покращені зачарованої зброї є шанс, що воно лишитися чарів.
No weapons allowed in the presence of His Majesty!	В присутності Його Величності неприпустимо носіння зброї!
Pixel-Mart. Special prices for demon hunters!	Pixel-Mart. Спеціальні знижки для мисливців на демонів!
The trap emits a piercing sound that echoes throughout the dungeon!	Пастка генерує пронизливий звук, який лунає підземеллям!
lightning trap	електрична пастка
You were killed by a discharge of a lightning trap...	Тебе прибило розрядом електричної пастки...
You don't know what is there.	Ти не знаєш, що там.
Select a cell to examine	Обери комірку для вивчення
LibGDX port: Arcnor / Web port: nojus297	LibGDX-порт: Arcnor / вебпорт: nojus297
Telegram port: @barboskich	Telegram-порт: @barboskich
Say thanks	Подякувати
Thank you!	Дякуємо!
This is a voluntary tip for the Telegram port. It never affects gameplay.	Це добровільна подяка за Telegram-порт. Вона ніяк не впливає на ігровий процес.
Support with Telegram Stars	Підтримати в Telegram Stars
Open @barboskich	Відкрити @barboskich
Sacrificial chamber	Жертовна зала
