Play	시작
You killed yourself with your own Wand of Magic Missile...	마탄의 마법 막대로 자기 자신을 죽였습니다...
Select a wand to upgrade	강화시킬 마법 막대를 선택하세요.
you disenchanted the Wand of Magic Missile and used its essence to upgrade your %s	마탄의 마법 막대에 부여된 마법을 분해하고 그것의 정수로 당신의 %s를 강화시켰습니다.
Wand of Poison	맹독의 마법 막대
The vile blast of this twisted bit of wood will imbue its target with a deadly venom. A creature that is poisoned will suffer periodic damage until the effect ends. The duration of the effect increases with the level of the staff.	비틀린 나뭇가지의 사악한 저주는 목표물에 맹독이 스며들게 합니다. 맹독에 걸린 생물은 효과가 끝날 때까지 지속적인 중독 피해를 입게 됩니다. 효과의 지속 시간은 지팡이의 레벨에 따라 늘어납니다.
Wand of Regrowth	재성장의 마법 막대
"When life ceases new life always begins to grow... The eternal cycle always remains!"	"한 생명이 죽으면 또 다른 생명이 태어나는 법... 그리고 영원한 순환은 언제나 계속될지니!"
Wand of Slowness	둔화의 마법 막대
This wand will cause a creature to move and attack at half its ordinary speed until the effect ends	이 마법 막대는 생물체의 공격 속도와 이동 속도를 효과가 끝날 때까지 절반으로 줄여버릴 것입니다.
You have magically transported %s into your backpack	당신은 마법으로 %s 를 당신의 가방에 넣었다.
Wand of Teleportation	순간이동의 마법 막대
A blast from this wand will teleport a creature against its will to a random place on the current level.	이 마법 막대에서 나온 광선은 생물체의 의지와 상관없이 현재 층의 무작위 장소로 순간이동시킬 것입니다
%1$s teleported %2$s to somewhere	 %1$s이/가  %2$s를 어딘가로 순간이동시켰습니다.
nothing happened	아무 일도 일어나지 않았다
You are now familiar enough with your %1$s to identify it. It is %2$s.	당신은 이제 %1$s 에 충분히 익숙해졌기 때문에 그 정체를 알게 되었습니다. 이것은 %2$s 입니다. 
Interaction of different types of magic has negated the enchantment on this weapon!	서로 다른 종류의 마법들이 작용하여 무기에 부여된 마법이 지워져 버렸다!
%1$s :%2$d	%1$s :%2$d
grim %s	음침한 %s
blazing %s	불타는 %s
eldritch %s	섬뜩한 %s
unstable %s	불안정한 %s
vampiric %s	흡혈의 %s
lucky %s	행운의 %s
stunning %s	기절시키는 %s
venomous %s	독성 %s
chilling %s	냉기의 %s
This %1$s is %2$s tier-%3$d melee weapon.	이 %1$s 은/는 %2$s %3$d차 근접 무기입니다.-업그레이드시 +차수 데미지-
a	일반
a upgraded	향상된
an degraded	하향된
Its average damage is %d points per hit.	평균 데미지는 타격당 %d입니다.
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	일반적으로 평균 데미지는 타격 당 %1$d입니다 . 이것을 사용하기 위해서는 힘이 %2$d가 필요합니다.
Probably this weapon is too heavy for you.	아무래도 이 무기는 당신한테 너무 무겁습니다.
This is a rather %s weapon.	이 무기는 보다 %s 무기입니다.
fast	빠른
slow	느린
and	그리고
but	하지만
accurate	정확한
inaccurate	부정확한
It was balanced to make it faster.	밸런스를 속도에 맞췄다.
It was balanced to make it more accurate.	밸런스를 정확도에 맞췄다.
It is enchanted.	인챈트 되어 있음.
You hold the %1$s at the ready%2$s.	당신이 쥐고 있는 %1$s의 준비가 완료되었습니다.%2$s
, and because it is cursed, you are powerless to let go	, 그리고 이 저주때문에 당신은 전혀 움직일 수 없습니다.
You can feel a malevolent magic lurking within %s.	당신은 %s 안에 숨어있는 악의적인 마법을 느낄 수 있습니다.
battle axe	배틀 엑스
The enormous steel head of this battle axe puts considerable heft behind each stroke.	이 전투 도끼의 엄청난 스틸 헤드는 각각의 스트로크 뒤에 상당한 영향력을 줍니다.
dagger	대거
A simple iron dagger with a well worn wooden handle.	낡은 나무 손잡이가 달린 단순한 단검입니다.
glaive	글레이브
A polearm consisting of a sword blade on the end of a pole.	이 폴암은 막대기 끝에 날이 달려있는 구조 입니다.
knuckleduster	너클더스터
A piece of iron shaped to fit around the knuckles.	이 너클은 쇠로된 조각이 주먹에 꼭 맞도록 만들어져 있습니다.
longsword	롱소드
This towering blade inflicts heavy damage by investing its heft into every cut.	이 우뚝 솟은 칼날은 모든 동작에 그 무게를 실어 큰 피해를 입힙니다.
mace	메이스
The iron head of this weapon inflicts substantial damage.	이 무기의 아이언 헤드는 상당한 피해를 입힙니다.
quarterstaff	쿼터스태프
A staff of hardwood, its ends are shod with iron.	이 단단한 나무 스태프의 끝에는 철이 덧씌워져 있습니다.
short sword	숏 소드
It is indeed quite short, just a few inches longer, than a dagger.	이건 엄청 짧은데 단검보다도 몇 인치 짧습니다.
REFORGE	재주조
Select a weapon to upgrade	업그레이드할 무기를 고르세요
you reforged the short sword to upgrade your %s	다시 제련해서 당신의 %s 를 숏소드로 업그레이드 합니다.
you can't upgrade a boomerang this way	이 방법으로 부메랑을 업그레이드 할 수 없습니다.
spear	스피어
A slender wooden rod tipped with sharpened iron.	가느다란 나무 막대 끝에  날카로운 쇠조각을 덧댔습니다.
sword	소드
The razor-sharp length of steel blade shines reassuringly.	그 금속칼날이 날카롭게 빛나는 동안은 안심이 된다.
war hammer	워 해머
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	몇몇 생물들은 이 납과 철로 우뚝솓아있는 무게감있는 타격을 버틸 수 있겠지만, 강인한 모험가는 이걸 효과적으로 사용할 수 있다.
Missile weapon	원거리 무기
Do you really want to equip it as a melee weapon?	정말로 이걸 근접 무기로 장착하시겠습니까?
\n\nAverage damage of this weapon equals to %d points per hit.	\n평균 데미지는 타격당 %d 포인트와 같다.
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	당신의 부족한 힘 수치 때문에 %s 의 정확도와 공격속도가 감소됩니다.
Because of your excess strength the damage of your attack with this %s is increased.	당신의 초과한 힘 수치 만큼 %s 의 데미지가 증가합니다.
\n\nYou hold the %s at the ready.	\n당신이 쥐고 있는 %s 의 준비가 완료되었습니다.
boomerang	부메랑
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	곡선의 나무 미사일 - 부메랑 - 을 적에게 던지면, 던진사람에게 다시 돌아옵니다.
curare dart	큐라레 다트
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	이 작고 사악한 다트는 많은 피해를 주지 않지만 대상을 마비켜서 잠시동안 무력화되게 할 수 있습니다.
dart	다트
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	이 간단한 금속 스파이크는 사실 날리기 부담스러운 무게지만 맞은 사람을 괴롭게 한다.
incendiary dart	방화 다트
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	이 다트끝에 있는 스파이크는 목표물에 도달하면 화려한 불꽃을 내며 폭발하도록 설계되어 있습니다.
javelin	자벨린
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	이 금속이 스파이크를 유지하며 날아가도록 한다.
shuriken	수리검
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	목표에 명중 할 때 높은 확률로 별모양 금속과 날카로운 칼날이 상당한피해를 입힌다.
tomahawk	토마호크
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	이 던지는 도끼는 무겁진 않지만 사용하는데 꽤 많은 힘이 필요하다.
A cloud of confusion gas is swirling here.	혼란을 주는 가스 구름이 소용돌이 칩니다.
A fire is raging here.	불꽃이 맹렬하게 타오릅니다.
Shafts of light pierce the gloom of the underground garden.	빛의 기둥이 지하정원의 어둠을 관통합니다.
A cloud of paralytic gas is swirling here.	마비가스의 구름이 소용돌이 칩니다.
A greenish cloud of toxic gas is swirling here.	녹색 독성 가스구름이 소용돌이 치고 있습니다.
You died from a toxic gas..	당신은 유독가스 흡입으로 사망하였습니다...
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	지식의 힘이 우물에서 흘러나옵니다. 한모금 마시면 당신이 장착한 아이템의 모든 정보를 알게 됩니다.
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	한모금 마시자, 머리속이 맑아지며 지식이 쏟아져 들어옵니다. 이제 장착아이템에 대한 모든정보를 알게됩니다. 또 현재 층에 있는 모든 아이템과 비밀을 알수있게 되었습니다.
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	좋은 물에서 힘의 원천이 나옵니다. 상처를 치유하고 굶주림을 채우기 위해 거기서 한모금 가져가세요.
As you take a sip, you feel your wounds heal completely.	한 모금 마시자, 당신의 모든 상처가 완전히 회복되는 것을 느낍니다.
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	변화의 힘이 우물에서 흘러나옵니다. 뭔가를 그 안으로 던져넣어 보세요.
Everything is covered with a thick web here.	모든것이 두꺼운 거미줄로 덮여 있습니다.
Amok	착란
Barkskin	나무스킨
Bleeding	출혈
You bled to death...	출혈로 인해 사망하였습니다.
Blinded	실명
Burning	불타는
%s burns up!	%s 이/가 불탔습니다!
You burned to death...	불에 타죽었습니다...
Charmed	매혹
Combo	콤보
%d hit combo!	%d 연타 콤보
Crippled	불구
Frozen	얼어붙은
Fury	격노
You are hungry.	당신은 배가 고픕니다.
You are starving!	당신은 굶주리고 있습니다!
You starved to death...	굶어 죽었습니다.
Hungry	배고프다
Starving	굶주린
Invisible	투명
Levitating	공중부양
Illuminated	섬광
Mind vision	심안
Caustic ooze	Kaustik Rüzgar
%s killed you...	%s 이/가 당신을 죽였습니다...
Paralyzed	마비됨
Poisoned	중독
You died from poison...	독으로 죽었습니다...
Rooted	묶임
Shadowmelded	그림자숨기
Slowed	느려짐
Vertigo	어지러움
Weakened	쇠약해짐
backpack	가방
Real description is coming soon!	진짜 설명은 곧 나올 예정입니다!
You hear something died in the distance	당신은 저 멀리서 무언가가 죽는 소리를 들었습니다.
This %s is sleeping	이 %s 은/는 자고 있습니다.
This %s is hunting	이 %s 은/는 사냥중 입니다
This %s is fleeing	이 %s 은/는 혼비백산하고 있습니다.
This %s is passive	이 %s 은/는 소극적입니다
acidic scorpio	산성 전갈
albino rat	알비노 쥐
crazy bandit	미친 강도
vampire bat	흡혈 박쥐
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	이 민첩하고 끈질긴 동굴 천장의 주민은 공격에 성공할 때마다 흡혈을 해서 자기보다 훨씬 큰 상대도 제압할 수 있다.
gnoll brute	놀 정예병
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	놀 정예병은 놀 중에서도 가장 크고 강하며 터프한 녀석이다. 큰 상처를 입게 되면, 녀석은 격분하면서 적에게 보다 큰 피해를 준다.
%s becomes enraged!	%s 은/는 격분에 빠졌다!
enraged	격분
sewer crab	하수구 게
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	이 거대한 게는 하수구 먹이 사슬의 최상위 포식자다. 녀석은 매우 빠르고 녀석의 딱딱한 껍질은 큰 충격을 견딜 수 있다.
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	이 기계는 드워프에 의해 수세기 전에 만들어 졌다. 시대가 흐르며 이들은 골렘, 정령, 심지어는 악마들로 교체되어 갔고, 이 때문에 드워프의 문명은 쇠퇴하게 되었다. DM-300 및 이와 유사한 기계는 건설, 채광, 또는 도시 방어를 위해 사용되었다.
DM-300 repairs itself!	DM-300이 스스로 자신을 수리했다!
Mission failed. Shutting down.	임무 실패. 작동을 정지합니다.
Unauthorized personnel detected.	무단 침입 감지.
fire elemental	불 정령
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	방황하는 불 정령은 고위 괴물 소환의 부산물입니다. 녀석은 너무나 혼돈스러운 본능을 가지고 있어서 최고의 악마학자마저 조종할 수 없습니다.
evil eye	눈알 악마
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	이 악마의 또다른 이름은 "증오의 구슬"이다. 왜냐하면 한 번 적을 본 녀석은 주변에 아군이 있든 말든 무시하고 죽음의 광선을 사용하여 아군도 상처 입히기 때문이다.
%s's deathgaze killed you...	%s의 죽음의 광선이 당신을 죽였다...
fetid rat	악취나는 쥐
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	이 주머니 쥐는 보통 녀석들 보다 훨씬 몸집이 크다.  악취나는 구름에 뒤덮혀 있다.
gnoll scout	놀 정찰병
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	놀은 하이에나처럼 생긴 인간형 괴수이다. 녀석은 하수구나 던전에 살면서 때때로 지상을 습격한다. 놀 정찰병은 그들 무리의 일반 구성원이다. 녀석은 놀 정예병만큼 강하지도 않고 놀 주술사만큼 똑똑하지도 않다.
golem	골렘
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	드워프는 그들의 기계에 대한 지식과 새로 발견한 정령의 힘을 서로 융합하려고 하였다. 그들은 토양의 정기를 "영혼"으로 이용하여 골렘의 기계로 된 몸체에 넣었고, 이를 조종할 수 있을 거라고 믿어 의심치 않았다. 그럼에도 불구하고, 의식 도중에 아주 사소한 실수라도 재앙을 초래할 수 있다.
Goo	블랙 푸딩
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	구에 대해서 알려진 것은 많지 않습니다. 아마도 구는 원래 생물체가 아니며, 하수구에 있던 유독한 물질들이 모여서 아주 기초적인 지성을 얻게 된 것 같습니다. 방법이야 어찌 되었든, 어두운 마법의 힘이 구를 존재하게 하는 것은 틀림없어 보입니다.
Goo is pumping itself up!	블랙 푸딩이 부풀어 오르기 시작했다!
glurp... glurp...	꾸룩...꾸룩....
GLURP-GLURP!	꾸룩-꾸룩!
!!!	!!!
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	드워프의 마지막 왕은 생명과 죽음의 원리에 대해 깊은 지식을 가진 것으로 잘 알려져 있다. 그는 의회의 의원들을 영원한 젊음을 얻을 수 있다고 설득하여 의식에 참여하게 하였다. 마지막에 그걸 얻은건 왕 혼자 뿐이었다. 그리고 그는 덤으로 언데드 군대도 얻었다.
You cannot kill me, %s... I am... immortal...	넌 나를 죽일 수 없다, %s... 나는... 불사신이다...
Arise, slaves!	일어나라, 노예들아!
How dare you!	네가 감히!
undead dwarf	언데드 드워프
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	드워프 왕의 의지에 의해 살아난 언데드 드워프는 왕의 의회의 구성원이었다. 녀석은 해골의 형상에 얼굴에는 수염이 엄청 많이 붙어있다.
mimic	미믹
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	미믹은 자기가 원하는 어떤 형상으로도 변할 수 있는 마법 생물이다. 던전에서 어떻게 해야 모험가를 유인할 수 있는지 잘 알기 때문에 녀석은 거의 보물상자 형상을 하고 있다.
dwarf monk	드워프 수도승
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	외부 침략자로부터 자신의 도시의 비밀을 지키는데 헌신하는 이 수도승은 광기에 빠져 있다. 녀석은 아무런 갑옷도 무기도 사용하지 않고, 오직 맨 주먹에 의지하여 싸운다.
parried	막음
%1$s has knocked the %2$s from your hands!	%1$s 이  %2$s 을/를 당신 손에서 떨어 뜨렸다!
giant piranha	거대 피라냐
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	이 식인 물고기는 지하 웅덩이의 자연적인 생물이 아니다. 녀석은 물에 잠긴 보물 창고를 지키기 위해 특별히 사육된 녀석이다.
marsupial rat	주머니 쥐
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	거대 주머니 쥐는 포악하지만 비교적 약한 하수구 거주자다. 많은 수가 모이지 않으면 그다지 위험하지 않다.
scorpio	거대 전갈
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	이 거대한 거미류의 악마같은 생물은 근접전을 최대한 피하고, 멀리서 불구로 만들어 버릴 수 있는 톱니 가시를 발사한다.
senior monk	고위 드워프 수도승
gnoll shaman	놀 주술사
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	아주 지능이 뛰어난 놀만이 주술사의 주술을 익힐 수 있다. 놀 주술사는 힘이 약하기 때문에 전투 마법 사용을 좋아하며, 부족에서 자신의 지위를 의심하는 자에게는 이를 사용하길 꺼리지 않습니다.
%s's lightning bolt killed you...	%s의 번개 화살이 당신을 죽였다...
shielded brute	방패 놀 정예병
skeleton	해골
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	해골은 운 없는 모험가들이나 던전에 사는 생물의 시체에서 나온 뼈로 이루어져 있고, 저 깊은 곳으로부터 뿜어나오는 악마의 주문에 의해 살아 움직인다. 어느 이상 손상되면 뼈가 폭발하며 산산조각 난다.
blocked	막음
You were killed by the explosion of bones...	당신은 폭발한 뼈에 맞아 죽었다...
cave spinner	동굴 거미
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	이 초록색 털복숭이 동굴 거미는 직접 전투를 꺼려 하는 대신, 녀석의 희생자가 독에 물린채 녀석이 뿜어 놓은 거미줄에 걸려 서서히 죽어가는 것을 멀리서 지켜보는 걸 좋아한다.
animated statue	살아있는 조각상
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	당신은 이 조각상을 던전에 있는 못생긴 여느 조각상과 다를바 없다고 생각 할 수도 있겠지만, 붉게 빛나는 눈이 그런 생각을 사라지게 합니다. 조각상 자체는 돌로 만들어져 있지만, 착용한  _%s_는 진짜 같습니다.
succubus	서큐버스
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	서큐버스는 유혹하는 여자(약간 고전적인 방식으로)처럼 생긴 악마다. 그녀는 마법을 써서 영웅을 매혹에 빠뜨리고 그 저주가 풀리기 전까지는 아무런 공격도 하지 못하게 만들어 버린다.
swarm of flies	파리 떼
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	죽음의 파리 떼가 매섭게 윙윙 거린다. 물리 공격을 받을 때마다 더 작은 두 무리로 나뉘지만 똑같이 위험하다.
Tengu	텐구
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	텐구는 고대 암살단의 일원이다. 이들 암살자는 수리검과 함정을 다루는 데 능하다.
Free at last...	드디어 해방이로구나...
Gotcha, %s!	잡았다, %s!
crazy thief	미친 도둑
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	던전 깊이 들어가면 갈수록 언제나 오만 가지의 범죄자들이 숨는 소굴이 있습니다. 햇빛을 제대로 보지 못했기 때문에 정신을 차리고 있는 자들은 몇 되지 않습니다. 오래 전부터 이 정신나간 도둑들은 자신이 누구이며 도둑질을 하는 이유조차 잊어버렸습니다 .
%1$s stole %2$s from you!	%1$s 이 당신한테서 %2$s 을/를 훔쳤다!
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n%1$s 이 _%2$s_를 들고 있다. 훔친 것이 분명하다.
dwarf warlock	드워프 흑마법사
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	드워프들의 관심이 기술에서 비밀스런 마법으로 옮겨갔을 때, 흑마법사들이 도시에서 힘을 얻기 시작했습니다. 그들은 원소 마법으로 시작했지만, 얼마 지나지 않아 악마술과 사령술에 손을 뻗었습니다.
%s's shadow bolt killed you...	%s의 암흑 화살이 당신을 죽였다...
wraith	유령
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	그들의 묘지의 유령들은 복수심에 불타는 죄인의 영혼이다. 영체로 이루어져 있기 때문에 일반 무기로 맞추기가 매우 어렵다.
Yog-Dzewa	요그-제바
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	요그-제바는 혼돈의 왕국의 강력한 고대의 신이다. 한 세기 전, 고대 드워프들은 악마의 군대와 싸워 간신히 이겼지만, 신을 죽이지 못했다. 그 대신, 그들은 자신들의 도시 아래에 있는 홀에 이 신을 가두고는, 그가 다시는 일어서지 못할 정도로 약해지기를 바랬다.
...	...
Hope is an illusion...	희망은 환상에 불과하리...
rotting fist	썩어가는 주먹
burning fist	불타는 주먹
god's larva	신의 애벌레
golden bee	벌
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	작은 크기에도 불구하고, 벌들은 자신의 둥지를 치열하게 지키려는 경향이 있다. 하지만 오래 살지는 못한다.
This %s is wandering	이 %s 은/는 방랑중 입니다
troll blacksmith	트롤 대장장이
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	트롤 대장장이는  큰 키에 여윈 몸을 가지고 있고, 피부는 색이든 질감이든 돌을 연상시키는 일반적인 트롤같이 생겼다. 트롤 대장장이는 덩치에 어울리지 않는 작은 도구들을 가지고 땜질을 하고 있다.
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	이봐 인간! 쓸만해지고 싶나, 응? 이 곡괭이를 가져다가 이걸로 _어두운 금 원석_을 좀 캐다 줘, _15개_ 면 충분하겠네. 보상은 뭐냐고? 이 탐욕스러운... \n알았어, 알았다고, 내가 보상해줄 돈은 없지만 아이템 제련은 해줄 수 있지. 운 좋은 줄 알아, 이 근처에 대장장이는 나밖에 없으니.
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	이봐 인간! 쓸만해지고 싶나, 어? 이 곡괭이를 가져다가 이걸로 _박쥐를 잡아서_ 박쥐 피를 묻혀와. 보상은 뭐냐고? 이 탐욕스러운... \n 알았어, 알았다고, 내가 돈은 없지만 아이템 제련은 해줄 수 있지. 운 좋은 줄 알아, 이 근처에 대장장이는 나밖에 없으니.
Are you kiddin' me? Where is my pickaxe?!	지금 장난해? 내 곡괭이 어디 갔어?!
Dark gold ore. 15 pieces. Seriously, is it dat hard?	어두운 금 원석. 15개. 솔직히 그게 그렇게 어렵냐?
I said I need bat blood on the pickaxe. Chop chop!	박쥐 피 묻혀오라고 했잖아. 빨리 빨리!
Oh, you have returned... Better late dan never.	오, 돌아오긴 했네... 늦는 게 안 오는 것보단 낫지.
I'm busy. Get lost!	꺼져, 난 바쁘다고!
your %s certainly looks better now	당신의 %s는(은) 확실히 좋아진것같다.
Select 2 different items, not the same item twice!	똑같은 아이템 두 번 고르지 말고, 다른 아이템 2개를 고르라고!
Select 2 items of the same type!	2개의 똑같은 종류의 아이템을 고르라니까!
I need to know what I'm working with, identify them first!	내가 뭐 가지고 작업하는 지 알아야 하니까, 식별부터 해!
I don't work with cursed items!	저주받은 아이템 가지곤 작업 안 해!
It's a junk, the quality is too poor!	이건 그냥 쓰레기야, 질이 너무 구리다고!
I can't reforge these items!	이런 아이템은 제련 못 해!
sad ghost	슬픈 유령
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	이 유령은 거의 보이지 않는다. 그것은 슬픈 얼굴을 한 희미한 빛으로 된 형상없는 얼룩 같이 보인다.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	반갑네 모험가여... 한때는 나도 당신과 같았다네 - 강하고 자신감이 넘쳤지... 하지만 지금은 죽었어... 하지만 난 이곳을 떠날수 없네... 내 _마른 장미_를 찾기 전까지는 말야... 나한텐 매우 중요한 것이네... 어떤 몬스터가 내게서 훔쳐갔어...
Please... Help me... _Find the rose_...	제발... 도와주게... 장미를 찾아 주시게...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	네! 네!! 바로 그거에요! 제발 그걸 제게 주세요! 그리고 이 중에 하나를 고르세요, 아마 당신의 여정에 도움이 될 거에요...
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	반갑게 모험가여... 한때는 나도 당신과 같았다네 - 강하고 자신감이 넘쳤지... 하지만 지금은 죽었어... 하지만 난 이곳을 떠날수 없네... 복수하기 전까지는 말야... 내 목숨을 앗아간, _악취나는 쥐_를 없애 주게...
Please... Help me... _Slay the abomination_...	제발... 도와주게...그 끔찍한 놈을 없애 주게...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	좋았어! 그 추한 괴물이 죽었으니 드디어 쉴 수 있겠군요... 이 중에 하나를 가져가세요. 아마 당신의 여정에 도움이 될 거에요...
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	임프들은 하급 데몬들이다. 그들이 유명한건 힘도 마법 재능도 아닌, 영리함과 사회성 때문이다. 많은 임프들은 데몬이 아닌 것들과 살아가는 것을 좋아한다.
evaded	회피
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	모험가이신가요? 전 모험가들이 좋아요! 누군가를 죽이고 싶을땐 언제나 그들에게 믿고 맡길 수 있죠. 내 말이 맞죠? 당연히 댓가도 드리죠. :)\n제 경우엔 _골렘_을 죽이고 싶어요. 보세요. 여기서 조그만한 사업을 하나 시작하려고 하는데요, 이놈의 멍청한 골렘들이 골치예요. 돌아다니는 화강암 덩어리인 녀석들과는 도무지 협상이 안되요, 제길! 그러니 제발, 좀 죽여줘요... 한.._6 마리_정도면 보상하겠습니다.
How is your golem safari going?	골렘 사파리는 잘되가고 있나요?
