Play	Gioca
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	Poche creature possono contrastare la furia di questo grosso ammasso di piombo e ferro, ma solo gli avventurieri più forti lo possono usare efficacemente. 
Missile weapon	arma missile
Do you really want to equip it as a melee weapon?	Vuoi davvero equipaggiarla come arma da mischia?
\n\nAverage damage of this weapon equals to %d points per hit.	\n\n\nIl danno medio di quest'arma equivale a %d punti per colpo. 
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	A causa della tua forza inadeguata, la precisione e velocità del tuo attacco con questa %s i diminuita.
Because of your excess strength the damage of your attack with this %s is increased.	A causa dell'eccesso di forza il danno del tuo attacco con questa %s è aumentato.
\n\nYou hold the %s at the ready.	\n\nTieni il %s a portata di mano.
boomerang	bumerang
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	Quando lanciato ai nemici questo sottile, curvo, missile di legno tornerà nelle mani del lanciatore. 
curare dart	dardo curatore
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	Questi piccoli e malefici dardi non provocano tanto danno, ma possono paralizzare il bersaglio lasciandolo immobile e indifeso per qualche tempo. 
dart	Dardo
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	Queste semplici punte di metallo sono calibrate per volare e colpire le loro vittime con un semplice movimento di polso. 
incendiary dart	Dardo incendiario
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	La punta di ognuno di questi dardi è progettata per bloccare il bersaglio mentre il composto instabile imbevuto nell'estremità zampilla di fiamme brillanti.  
javelin	giavellotto
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	Questo pezzo di metallo è bilanciato per mantenere la punta in avanti mentre vola attraverso l'aria verso la sua vittima
shuriken	shuriken
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	Pezzi di metallo modellati a forma di stella con lame affilate come rasoi che infliggono danni significativi quando colpiscono il bersaglio. Possono venir lanciati ad un ritmo molto elevato.
tomahawk	tomahawk
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	Questa ascia da lancio non è così pesante, ma comunque richiede una forza significativa per essere usata in modo efficace.
A cloud of confusion gas is swirling here.	Una nube di gas confondente sta vorticando qua.
A fire is raging here.	Un incendio sta infuriando qua.
Shafts of light pierce the gloom of the underground garden.	Spiragli di luce perforano l'oscurità del giardino sotterraneo.
A cloud of paralytic gas is swirling here.	Una nube di gas paralizzante sta vorticando qua.
A greenish cloud of toxic gas is swirling here.	Una nube verdastra di gas tossico sta vorticando qua.
You died from a toxic gas..	Sei morto a causa delle esalazioni di gas tossico... 
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	Il potere della salute viene irradiato dall'acqua di questo pozzo. Prendine un sorso per curare le tue ferite e saziare la tua fame.
As you take a sip, you feel your wounds heal completely.	Appena ne prendi un sorso, senti che le tue ferite guariscono completamente. 
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	Il potere del mutamento viene irradiato dall'acqua di questo pozzo. Getta un oggetto nel pozzo per trasformarlo in qualcos'altro.
Everything is covered with a thick web here.	Ogni cosa è coperta da una fitta ragnatela qui.
Amok	Furia omicida
Barkskin	Pelle coriacea
Bleeding	Sanguinamento
You bled to death...	Hai sanguinato a morte...
Blinded	Accecato 
Burning	In fiamme
%s burns up!	%s prende fuoco! 
You burned to death...	Sei arso a morte...
Charmed	Affascinato
Combo	Combinazione
%d hit combo!	Combinazione di %d colpi!
Crippled	Azzoppato
Frozen	Ghiacciato
Fury	Furia
You are hungry.	Sei affamato.
You are starving!	Stai morendo di fame!
You starved to death...	Sei morto di fame...
Hungry	Affamato
Starving	Morendo di fame
Invisible	Invisibile
Levitating	Levitante
Illuminated	Illuminato
Mind vision	Visione Mentale
Caustic ooze	Melma Caustica
%s killed you...	%s ti ha ucciso...
Paralyzed	Paralizzato
Poisoned	Avvelenato
You died from poison...	Sei morto avvelenato...
Shadowmelded	Fuso con l'ombra
Slowed	Rallentato
Vertigo	Vertigini
Weakened	Indebolito
backpack	zaino
Real description is coming soon!	La vera descrizione arriverà presto!
You hear something died in the distance	Senti qualcosa morire a distanza.
This %s is sleeping	Questo %s sta dormendo.
This %s is hunting	Questo %s sta cacciando.
This %s is fleeing	Questo %s sta fuggendo.
This %s is passive	Questo %s è passivo.
acidic scorpio	scorpione acido
albino rat	ratto albino
crazy bandit	bandito pazzo
vampire bat	pipistrello vampiro
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	Questi vivaci e tenaci abitanti delle grotte possono sconfiggere gli avversari molto più grandi di loro recuperando la loro salute con ogni attacco riuscito.
gnoll brute	gnoll bruto
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	I bruti sono i più grandi, i più forti e i più duri di tutti gli gnoll. Quando gravemente feriti, si infuriano, infliggendo danni maggiori ai loro nemici.
%s becomes enraged!	%s è Infuriato!
enraged	Infuriato
sewer crab	granchio delle fogne
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	Questi enormi granchi sono in cima alla catena alimentare delle fogne. Sono estremamente veloci e i loro duri esoscheletri posso sopportare duri colpi.
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	Questa macchina fu creata dai Nani parecchi secoli fa. Più tardi, i Nani hanno cominciato a rimpiazzare i macchinari con golem, elementali e persino demoni. Alla fine ciò ha portato il declino della loro civiltà. La DM-300 e altre simili macchine erano tipicamente usate per la costruzione e lo scavo e, in alcuni casi, per la difesa della città.
DM-300 repairs itself!	DM-300 si è riparato
Mission failed. Shutting down.	Missione Fallita. Chiudi.
Unauthorized personnel detected.	personale non autorizzato rilevato.
fire elemental	elementale del fuoco
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	Gli elementali del fuoco erranti sono un sottoprodotto dell'evocazione di più grandi entità. Sono troppo caotici nella loro forma per essere controllati anche dal più potente demonologo.
evil eye	malocchio 
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	Uno degli altri nomi di questo demone è "sfera d'odio" perché quando vede un nemico, usa il suo raggio mortale sconsideratamente, spesso ignorando i suoi alleati e ferendoli.
fetid rat	ratto puzzolente
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	Questo topo marsupiale è molto più grande rispetto ad uno normale. Ed è circondato da una nuvola di gas puzzolente.
gnoll scout	gnoll esploratore
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	Gli gnoll sono delle iene umanoidi. Essi dimorano nelle fogne e nei dungeon, avventurandosi di tanto in tanto in superficie per razziarla. Gli gnoll esploratori sono membri semplici del loro branco, non sono ne forti come i bruti ne intelligenti come GOI sciamani.
golem	golem
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	I nani provarono a combinare la loro conoscenza nei meccanismi con il loro nuovo potere di fusione degli elementi, Hanno usato spiriti della terra come "anima" per i corpi meccanici dei golem, che furono creduti come i più controllabili. Nonostante questo, il più piccolo errore nel rituale potrebbe causare un esplosione.
Goo	Goo
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	Poco si sa sul Goo. È molto probabile che non sia nemmeno una creatura, ma piuttosto un conglomerato di sostanze delle fognature che hanno acquisito i rudimenti della libera volontà. In ogni caso, è evidente che qui c'è al lavoro una magia oscura.
Goo is pumping itself up!	Goo si sta pompando!
glurp... glurp...	glurp... glurp...
GLURP-GLURP!	GLURP-GLURP!
!!!	!!!
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	L'ultimo re dei Nani era conosciuto per la sua profonda conoscenza dei processi di vita e di morte. Ha persuaso i membri della sua corte a partecipare in un rituale, che avrebbe dovuto donare loro eterna giovinezza. Alla fine fu l'unico ad ottenerla, con un'armata di non-morti in omaggio.
You cannot kill me, %s... I am... immortal...	Non puoi uccidermi,%s...Io sono....Immortale...
Arise, slaves!	sorgete, SCHIAVI!
How dare you!	Come osi!
undead dwarf	nano zombie
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	Questi nani non-morti, risorti dalla volontà del Re dei Nani, furono membri della sua corte. Appaiono ora come scheletri, dotati di una sorprendente barba.
mimic	replicante
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	I Replicanti sono creature magiche che possono prendere qualsiasi forma essi desiderino. Nei dungeon scelgono quasi sempre la forma di bauli del tesoro, poiché sanno come attirare un avventuriero.
dwarf monk	Monaco Nano
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	Questi monaci sono dei fanatici, che hanno dedicato loro stessi nel proteggere i segreti della loro città da tutti gli stranieri. Non usano alcuna armatura o arma, affidandosi solamente all'arte del combattimento corpo a corpo.
parried	Parata
%1$s has knocked the %2$s from your hands!	%1$s ti ha tolto %2$s dalle tue mani!
giant piranha	Piranha gigante
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	Questi pesci carnivori non sono abitanti naturali delle pozze sotterranee. Sono stati allevati specificamente per proteggere le camere del tesoro allagate.
marsupial rat	topo marsupiale
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	I ratti marsupiali sono aggressivi, ma abitanti piuttosto deboli delle fogne. Possono essere pericolosi solo in grandi numeri. Questo particolare ratto sembra essere un albino. Ha anche dei denti aguzzi anomali.
scorpio	Scorpione
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	Queste creature demoniche simili ad aracnidi evitano i combattimenti ravvicinati ad ogni costo, lanciando punte paralizzanti da lunghe distanze.
senior monk	Monaco anziano
gnoll shaman	gnoll sciamano
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	Gli gnoll più intelligenti posso imparare la magia sciamanica. Gli gnoll sciamani preferiscono magie d'attacco per compensare la loro mancanza di forza, non esitando ad usarle su coloro che mettono in dubbio il loro prestigio nella tribù.
shielded brute	Bruto schermato
skeleton	Scheletro
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	Gli scheletri sono composti dalle ossa di avventurieri sfortunati e degli abitanti del dungeon, animati dalle emanazioni di magia maligna provenienti dai pieni inferiori. Dopo essere stati danneggiati abbastanza, si disintegrano in un esplosioni di ossa.
blocked	Bloccato
You were killed by the explosion of bones...	sei stato ucciso dall'esplosione di ossa...
cave spinner	Filatore della caverna
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	Questi ragni furiosi verdastri provano ad evitare il combattimento diretto, preferendo aspettare a distanza mentre le loro vittime, impigliate nella ragnatela, muoiono lentamente a cause del loro morso velenoso. 
animated statue	Statua Animata
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	Potresti pensare che sia solamente un'altra delle brutte statue di questo dungeon, ma i suoi ardenti occhi rossi parlano da sé... Mentre la statua in sé è fatta di pietra, la_%s-, ciò che bandisce, sembra vero. 
succubus	succube
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	Le succubi sono demoni che sembrano seducenti (in una lontana maniera gotic) ragazze. Usando la loro magia, le succubi possono affascinare l'eroe, che sarà impossibilitato ad attaccare fin quando la fascinazione svanisce. 
swarm of flies	sciame di mosche
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	Lo sciame di mosche mortale ronza con rabbia. Ogni attacco non magico si dividerà in due sciami più piccole ma ugualmente pericolosi.
Tengu	tengu
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	Tengu sono membri degli antichi assassini del clan , che è anche chiamato Tengu. Questi assassini sono noti per l'uso estensivo di shuriken e trappole.
Free at last...	Finalmente libero...
crazy thief	Ladro pazzo
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	I livelli più profondi del dungeon sono sempre stati un nascondiglio per tutti i tipi di criminali. Non tutti potevano mantenere una mente lucida durante i loro lunghi periodi così lontano dalla luce del giorno. Molto tempo fa, questi banditi e ladri folli hanno dimenticato chi sono e perché rubano. Questo bandito sembra aver rivestito il pugnale con qualcosa!
%1$s stole %2$s from you!	%1$s ha rubato %2$s da te!
dwarf warlock	Stregone Nano
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	Quando gli interessi dei nani deviarono dall'ingegneria alle arti arcane, gli sciamani andarono al potere nella città. Iniziarono con la magia elementale, ma presto verterono in demonologia e necromanzia. 
wraith	Spettro
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	Un wraith è lo spirito vendicativo di un peccatore a cui fu  disturbata la lapide o la tomba. Essendo una creatura eterea, è veramente difficile da colpire con un'arma normale. 
Yog-Dzewa	Yog-Dzewa
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	Yog-Dzewa è un vecchio dio,una potente entità dei regni del caos.Un secolo fa,gli antichi nani hanno vinto a malapena la guerra contro il suo esercito di demoni,ma non erano in grado di uccidere il Dio stesso. Invece,lo hanno imprigionato nelle sale sotto la loro città,credendo che fosse troppo debole per non risalire più.
...	...
Hope is an illusion...	La speranza è un'illusione...
rotting fist	pugno in decomposizione
burning fist	pugno infuocato 
god's larva	larva di Dio
golden bee	ape
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	Nonostante le loro piccole dimensioni, le api tendono a proteggere ferocemente il loro alveare. Tuttavia, non vivono a lungo.
This %s is wandering	Questo %s sta girovagando.
troll blacksmith	fabbro troll
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	Questo fabbro troll si presenta come tutti i troll guardandolo : è alto e magro, la sua pelle assomiglia alla pietra sia a colori e alla consistenza. Il fabbro troll sa armeggiare con piccoli attrezzi in modo non proporzionale 
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Hey umano!  Vuoi essere utile, eh? Prendi il piccone e _uccidi il pipistrello_',ho bisogno del suo sangue sulla testa. dovrebbe essere sufficiente. Cosa vuol dire, come sto andando pagare? Sei avido...\nOk, ok, non ho soldi per pagare, ma posso fare un po il fabbro 'per voi. Considerati fortunato, io sono l'unico fabbro attorno.
Are you kiddin' me? Where is my pickaxe?!	Mi stai prendendo in giro?! Dov'è il mio piccone!?
Dark gold ore. 15 pieces. Seriously, is it dat hard?	minerale di oro scuro. 15 pezzi. Scherzi a parte, è difficile?
I said I need bat blood on the pickaxe. Chop chop!	Ho detto che ho bisogno del sangue di un pipistrello sulla zappa. Chop Chop!
Oh, you have returned... Better late dan never.	Oh, sei tornato... Meglio tardi che mai.
I'm busy. Get lost!	Sono occupato. Sparisci!
your %s certainly looks better now	%s sembra migliore ora
Select 2 different items, not the same item twice!	Scegli 2 item diversi, non lo stesso due volte!
Select 2 items of the same type!	Seleziona 2 item dello stesso tipo!
I need to know what I'm working with, identify them first!	Ho bisogno di sapere con cosa sto lavorando, identificali prima!
I don't work with cursed items!	Io non lavoro con oggetti maledetti!
It's a junk, the quality is too poor!	E' spazzatura, la qualità è troppo bassa!
I can't reforge these items!	Non posso riforgiare questi items!
sad ghost	fantasma triste
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	Il fantasma è appena visibile. Si presenta come una macchia informe di luce fioca con una espressione addolorata.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	Ciao avventuriero... Una volta ero come te - forte e fiducioso... E ora sono morto... Ma non posso lasciare questo posto... Non finché non riavrò  la mia _rosa appassita_... E' molto importante per me... Un mostro l'ha rubata dal mio corpo...
Please... Help me... _Find the rose_...	Ti prego.... Aiutami... Trova la rosa...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	Sì! Sì!!! è questo! Si prega di darlo a me! E si può prendere uno di questi elementi, forse sarà utile a voi nel vostro viaggio...
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	Ciao avventuriero... Una volta ero come te - forte e fiducioso... E ora sono morto... Ma non posso lasciare questo posto... Non finché non avrò la mia vendetta... Uccidi il _ratto puzzolente_ che ha preso la mia vita...
Please... Help me... _Slay the abomination_...	Ti prego.... Aiutami... Uccidi l'abominio...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	SI! la brutta creature è finalmente uccisa e posso finalmente riposare...si prega di prendere uno di questi item, forse sarà utile a voi nel vostro viaggio...
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	I folletti sono demoni minori. Essi non si distinguono né per la loro forza né per il loro talento nella magia, tuttavia sono abbastanza intelligenti e socievoli. Molti folletti preferiscono vivere tra i non demoni.
evaded	eluso
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	Sei un avventuriero? Amo gli avventurieri! Si può sempre contare su di loro se qualcosa deve essere ucciso. Ho ragione? Per una taglia, ovviamente ;)\nNel mio caso ho bisogno di te per uccidere i _golem_. Come vedi ho intenzione di avviare una piccola impresa proprio qui, ma questi stupidi golem fanno male agli affari! E 'molto difficile negoziare con dei blocchi di granito ambulanti, accidenti a loro! Quindi, per favore, uccidili... Facciamo così, _6 di loro_ ed il premio è tuo.
How is your golem safari going?	Come sta andando la caccia ai golem?
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _monks_ who need to be killed. You see, I'm going to start a little business here, but these lunatics don't buy anything themselves and will scare away other customers. So please, kill... let's say _8 of them_ and a reward is yours.	Sei un avventuriero? Amo gli avventurieri! Si può sempre contare su di loro, se qualcosa deve essere ucciso. Ho ragione? Per una taglia, ovviamente ;)\nNel mio caso ho bisogno di te per uccidere i _monaci_. Come vedi ho intenzione di avviare una piccola impresa proprio qui, ma quei pazzi non comprano nulla e spaventano gli altri clienti. Quindi, per favore, uccidili... Facciamo così, _8 di loro_ ed il premio è tuo.
Oh, you are still alive! I knew that your kung-fu is stronger ;) Just don't forget to grab these monks' tokens.	Oh, sei ancora vivo! Sapevo che il tuo kung-fu era più forte;)  Non ti dimenticare di prendere i gettoni dai monaci.
See you, %s!	Ci vediamo, %s!
Psst, %s!	Psst, %s!
ambitious imp	diavoletto ambizioso
Imps are lesser demons. They are notable for neither their strength nor their magic talent. But they are quite smart and sociable, and many of imps prefer to live and do business among non-demons.	I folletti sono demoni minori. Essi non si distinguono né per la loro forza né per il loro talento nella magia, tuttavia sono abbastanza intelligenti e socievoli. Molti di loro preferiscono vivere e commerciare con i non demoni.
Hello, friend!	Ciao, amico!
mirror image	Immagine Riflessa 
This illusion bears a close resemblance to you, but it's paler and twitches a little.	Questa illusione ha una stretta somiglianza con te, ma è più pallida e si deforma un po'.
rat king	re ratto
This rat is a little bigger than a regular marsupial rat and it's wearing a tiny crown on its head.	Questo topo è un po 'più grande di un normale topo marsupiale e si indossa una piccola corona sulla sua testa.
I'm not sleeping!	non sto dormendo!
What is it? I have no time for this nonsense. My kingdom won't rule itself!	Che cos'è? Non ho tempo per queste sciocchezze. Il mio regno non governerà per sé!
shopkeeper	negoziante
This stout guy looks more appropriate for a trade district in some large city than for a dungeon. His prices explain why he prefers to do business here.	Questo tipo stout sembra più appropriato per un distretto del commercio in qualche grande città che per un dungeon. I suoi prezzi spiegano perché preferisce fare affari qui.
Select an item to sell	Seleziona un item da vendere
old wandmaker	vecchio creatore di bacchette
This old but hale gentleman wears a slightly confused expression. He is protected by a magic shield.	Questo vecchio ma sano gentiluomo indossa un'espressione un po 'confusa. Egli è protetto da uno scudo magico.
absorbed	assorbito
Any luck with _corpse dust_, %s? Bone piles are the most obvious places to look.	Hai avuto fortuna con la polvere di cadavere, %s? i mucchi di ossa sono luoghi più evidenti da controllare
A hidden pressure plate clicks!	Una lastra a pressione nascosta!
Floor	Pavimento
Grass	Erba
Water	Acqua
Wall	Muro
Closed door	Porta chiusa
Open door	Porta aperta
Depth entrance	ingresso nella profondità
Depth exit	uscita dalle profondità
Embers	Brace
Locked door	Porta bloccata
Pedestal	Piedistallo
Barricade	Barricata
High grass	Erba alta
Locked depth exit	uscita dalle profondità chiusa
Unlocked depth exit	uscita dalle profondità aperta
Sign	Cartello
Well	Pozzo
Empty well	Pozzo vuoto
Statue	Statua
Toxic gas trap	Trappola del gas tossico.
Fire trap	Trappola di fuoco
Paralytic gas trap	Trappola del gas paralitico
Poison dart trap	trappola dei darti avvelenati
Alarm trap	Trappola d'allarme
Lightning trap	Trappola fulminante
Gripping trap	Trappola afferrante
Summoning trap	Trappola d'invocazione
Triggered trap	Trappola innescata
Bookshelf	Libreria
Alchemy pot	Pentola alchemica
\\?\\?\\?	\\?\\?\\?
You can't see the bottom.	Non riesci a vederne il fondo.
In case of burning step into the water to extinguish the fire.	Nel caso tu fossi in fiamme cammina nell'acqua per spegnere il fuoco.
Embers cover the floor.	le ceneri coprono il pavimento
Dense vegetation blocks the view.	Una densa vegetazione blocca la visuale.
This door is locked, you need a matching key to unlock it.	La porta è chiusa, hai bisogno di una chiave adatta per aprirla.
Heavy bars block the stairs leading down.	Delle barre pesanti bloccano le scale che conducono sotto
The wooden barricade is firmly set but has dried over the years. Might it burn?	La barricata di legno  è impostata con forza ma è secca dagli anni.  \nPotrebbe bruciare?
You can't read the text from here.	Non riesci a leggere il testo da qui
Stepping onto a hidden pressure plate will activate the trap.	se fai un passo (o cammini) sulla lastra a pressione attiverai la trappola.
The trap has been triggered before and it's not dangerous anymore.	La trappola è stata attivata prima e non è più pericolosa.
Someone wanted to adorn this place, but failed, obviously.	Qualcuno voleva decorare questo luogo, ha fallito, ovviamente.
Drop some seeds here to cook a potion.	Metti dei semi qui per cucinare una pozione
The well has run dry.	Il pozzo può funzionare a secco.
Fluorescent moss	Muschio fluorescente
Fluorescent mushrooms	Funghi fosforescenti
Freezing cold water.	Acqua Ghiacciata
The ladder leads up to the upper depth.	Questa scala porta al piano superiore.
The ladder leads down to the lower depth.	Questa scala porta al piano inferiore.
Huge mushrooms block the view.	Un grande fungo oscura la visuale.
A vein of some ore is visible on the wall. Gold?	una vena di materiale è visibile sulla parete. sarà oro?
Who would need a bookshelf in a cave?	A chi servirebbe una libreria dentro una caverna?
A ramp leads down to the lower depth.	Una rampa conduce fino alla profondità inferiore.
The statue depicts some dwarf standing in a heroic stance.	La statua raffigura alcuni nani in un atteggiamento eroico.
The rows of books on different disciplines fill the bookshelf.	una fila di libri su diverse discipline riempiono la libreria.
Books in ancient languages smolder in the bookshelf.	Libri in lingue antiche nella libreria.
Cold lava	Lava fredda
Embermoss	Muschio Di fuoco
Emberfungi	Fungo di fuoco
Pillar	Pilastro 
It looks like lava, but it's cold and probably safe to touch.	Sembra lava ma è fredda ed è probabilmente sicura da toccare
The pillar is made of real humanoid skulls. Awesome.	La colonna è formata da reali teschi umanoidi. Stupendo.
Suspiciously colored water	acqua colorata sospettosa
High blooming flowers	fiori alti che sbocciano
A ramp leads up to the upper depth.	Una rampa conduce fino alla profondità superiore.
A ramp leads down to the Inferno.	Una rampa conduce all'inferno.
Several tiles are missing here.	Diverse piastrelle mancanti qui.
Thick carpet covers the floor.	una moquette spessa copre il pavimento.
Dark cold water.	Acqua scura fredda
There are old blood stains on the floor.	Ci sono vecchie macchie di sangue sul pavimento.
This is probably a vestige of a prison library. Might it burn?	Questo è probabilmente un residuo di una biblioteca carceraria. Potrebbe bruciare?
Murky water	acqua torbida
Wet yellowish moss covers the floor.	Un muschio giallastro copre il pavimento.
The bookshelf is packed with cheap useless books. Might it burn?	La libreria è piena di libri inutili a basso costo. Potrebbe bruciare?
Select a seed to throw	Seleziona un seme da lanciare
Chasm	Baratro
Yes, I know what I'm doing	Sì, so quello che faccio
No, I changed my mind	No, ho cambiato idea
Do you really want to jump into the chasm? You can probably die.	Vuoi davvero fare un salto nel baratro? Probabilmente si può morire.
You fell to death...	Sei caduto da un posto alto...
What are you doing here?!	Cosa ci fai qui?!
Don't overestimate your strength, use weapons and armor you can handle.	Non sopravvalutare la tua forza, usa armi e armature che riesci a maneggiare.
Not all doors in the dungeon are visible at first sight. If you are stuck, search for hidden doors.	Non tutte le porte del dungeon sono visibili alla prima occhiaa. Se sei bloccato, cerca delle porte nascoste.
Remember, that raising your strength is not the only way to access better equipment. You can go the other way, lowering its strength requirement with Scrolls of Upgrade.	Ricorda che aumentare la tua forza non è l'unico modo per accedere a meglio attrezzature, puoi anche andare al contrario diminuendo i suoi requisiti di forza con le pergamene di Miglioramento.
Beware of Goo!	Occhio a Goo!
Pixel-Mart. All you need for successful adventure!	Pixel-Mart - tutto il necessario per un'avventura di successo!
Identify your potions and scrolls as soon as possible. Don't put it off to the moment when you actually need them.	Identifica le pozioni e le pergamene non appena possibile. Non ridurti al momento nel quale ne avrai davvero bisogno.
Being hungry doesn't hurt, but starving does hurt.	Essere affamati non fa male, ma morire di fame sì
Surprise attack has a better chance to hit. For example, you can ambush your enemy behind a closed door when you know it is approaching.	Gli attacchi a sorpresa hanno maggiori probabilità di colpire. Per esempio, puoi tendere un agguato al nemico dietro una porta chiusa quando sai che sta arrivando.
Don't let The Tengu out!	Non lasciare uscire il Tengu!
Pixel-Mart. Spend money. Live longer.	Pixel-Mart. Spendi soldi, vivi più a lungo.
When you're attacked by several monsters at the same time, try to retreat behind a door.	Quando sei sotto attacco da più mostri alla volta, prova a ritirarti dietro una porta.
There is no sense in possessing more than one Ankh at the same time, because you will lose them upon resurrecting.	Non ha senso avere più di un Ankh alla volta, siccome li perderesti a seguito della risurrezione.
DANGER! Heavy machinery can cause injury, loss of limbs or death!	PERICOLO! I macchinari pesanti possono causare infortuni, perdita di arti o addirittura morte!
Pixel-Mart. A safer life in dungeon.	Pixel-Mart. Una vita più tranquilla nel dungeon.
