Play	Oyna
You are now familiar enough with your %1$s to identify it. It is %2$s.	Artık %1$s'inizi tanımlayabilecek kadar aşinasınız. Bu %2$s.
Interaction of different types of magic has negated the enchantment on this weapon!	Farklı sihirler ile yaptığı etkileşimler bu silahın efsununu bozdu!
%1$s :%2$d	%1$s :%2$d
grim %s	Gaddar %s
blazing %s	Alevli %s
eldritch %s	Korkunç %s
unstable %s	Dengesiz %s
vampiric %s	Vampir %s
lucky %s	Şanslı %s
stunning %s	Sersemletici %s
venomous %s	Zehirli %s
chilling %s	Üşütücü %s
This %1$s is %2$s tier-%3$d melee weapon.	Bu %1$s, %2$s %3$d.seviye saldırı silahı.
a	bir
a upgraded	yükseltilmiş
an degraded	indirgenmiş
Its average damage is %d points per hit.	Her vuruşta ortalama %d puan hasar verir.
Its typical average damage is %1$d points per hit and usually it requires %2$d points of strength.	Her vuruşta ortalama %1$d puan hasar verir ve genellikle kullanmak için %2$d güç puanı gerekir.
Probably this weapon is too heavy for you.	Bu silah büyük ihtimalle senin için çok ağır.
This is a rather %s weapon.	Bu oldukça %s bir silah.
fast	hızlı
slow	yavaş
and	ve
but	ama
accurate	isabetli
inaccurate	isabetsiz
It was balanced to make it faster.	Daha hızlı olması için ayarlanmış.
It was balanced to make it more accurate.	İsabetli olması için ayarlanmış.
It is enchanted.	Büyülü.
You hold the %1$s at the ready%2$s.	%1$s hazır %2$s'nin yanında tutuyorsun.
, and because it is cursed, you are powerless to let go	, ve lanetli olduğu için, bırakmak için yeterli güce sahip değilsin
You can feel a malevolent magic lurking within %s.	%s'in içinde kötü niyetli bir büyünün gizlendiğini hissedebilirsiniz.
battle axe	savaş baltası
The enormous steel head of this battle axe puts considerable heft behind each stroke.	Bu devasa çelik başlı balta her darbede arkasında büyük hasarlar bırakır.
dagger	hançer
A simple iron dagger with a well worn wooden handle.	Eskimiş tahta kulplu basit bir demir hançer.
glaive	Glaive
A polearm consisting of a sword blade on the end of a pole.	Ucunda kılıç ağzı bulunan bir sırık şeklindeki silah.
knuckleduster	muşta
A piece of iron shaped to fit around the knuckles.	Parmak eklemlerin uyacak şekilde şekillendirilmiş demirden bir parça.
longsword	uzun kılıç
This towering blade inflicts heavy damage by investing its heft into every cut.	Bu muazzam uzun kılıç her darbede arkasında büyük bir hasar bırakır.
mace	topuz
The iron head of this weapon inflicts substantial damage.	Bu silahın demir kafası büyük hasar verir.
quarterstaff	çeyrek sopa
A staff of hardwood, its ends are shod with iron.	Uçları demirle kaplı sert ağaçtan bir değnek.
short sword	kısa kılıç
It is indeed quite short, just a few inches longer, than a dagger.	Gerçekten kısa, bir hançerden birkaç santim daha uzundur herhalde.
REFORGE	DÖV
Select a weapon to upgrade	Geliştirmek için silah seç
you reforged the short sword to upgrade your %s	kısa kılıcı döverek ,%s nesnesini yükseltin
you can't upgrade a boomerang this way	Bumerang'ı bu şekilde yükseltemezsin
spear	Mızrak
A slender wooden rod tipped with sharpened iron.	Ucu sivriltilmiş demirle kaplı ince bir tahta çubuk.
sword	kılıç
The razor-sharp length of steel blade shines reassuringly.	Keskin ağzı ile bu uzun çelik silah güven verici şekilde parlıyor.
war hammer	savaş çekici
Few creatures can withstand the crushing blow of this towering mass of lead and steel, but only the strongest of adventurers can use it effectively.	Bu devasa kurşun ve çelik kütlesinin ezici darbesine çok az yaratık dayanabilir, ancak yalnızca en güçlü maceracılar onu etkili bir şekilde kullanabilir.
Missile weapon	Menzilli silah
Do you really want to equip it as a melee weapon?	Saldırı silahı olarak kullanmak istediğine emin misin?
\n\nAverage damage of this weapon equals to %d points per hit.	\n\nBu silahın ortalama saldırı gücü %d puandır.
Because of your inadequate strength the accuracy and speed of your attack with this %s is decreased.	Gücün %s için yetersiz olduğu için saldırı hızın ve isabetin düşük.
Because of your excess strength the damage of your attack with this %s is increased.	Gücün çok fazla olduğu için ,%s ile yaptığın atakların hızı ve isabeti artıyor.
\n\nYou hold the %s at the ready.	\n\n%1$s saldırı sırasında kullanmak için hazır.
boomerang	bumerang
Thrown to the enemy this flat curved wooden missile will return to the hands of its thrower.	Bu ağaçtan yapılmış bumerang düşmana attıktan sonra ellerine geri dönecek
curare dart	zehirli ok
These little evil darts don't do much damage but they can paralyze the target leaving it helpless and motionless for some time.	Bu küçük oklar fazla zarar vermese de rakibini hareketsiz ve savunmasız bırakabilir
These simple metal spikes are weighted to fly true and sting their prey with a flick of the wrist.	Bu metal oklar bir bilek hareketiyle havada süzülmesi için dizayn edilmiş
incendiary dart	yakıcı ok
The spike on each of these darts is designed to pin it to its target while the unstable compounds strapped to its length burst into brilliant flames.	Bu dartların her birinin üzerindeki sivri uç, uzunluğuna bağlı dengesiz bileşikler parlak alevlere dönüşürken onu hedefine sabitlemek için tasarlanmıştır.
javelin	Cirit
This length of metal is weighted to keep the spike at its tip foremost as it sails through the air.	Bu metal uzunluk, havada kurbanına doğru süzülürken sivri ucu en önde tutacak şekilde ağırlıklandırılmıştır
shuriken	shuriken (Ninja Yıldızı)
Star-shaped pieces of metal with razor-sharp blades do significant damage when they hit a target. They can be thrown at very high rate.	Jilet gibi keskin bıçaklara sahip yıldız şeklindeki metal parçaları hedeflerine önemli hasar verir. Çok yüksek hızda fırlatılabilirler.
tomahawk	Kızılderili baltası
This throwing axe is not that heavy, but it still requires significant strength to be used effectively.	Bu fırlatma baltası o kadar ağır olmasa da, yine de etkili bir şekilde kullanılması için önemli bir güç gerektirir.
A cloud of confusion gas is swirling here.	Burada bir kafa karıştırıcı gaz bulutu dönüyor.
A fire is raging here.	Burada bir yangın var.
Shafts of light pierce the gloom of the underground garden.	Işık huzmeleri yeraltı bahçesinin kasvetini deliyor.
A cloud of paralytic gas is swirling here.	Burada felç edici bir gaz bulutu dönüyor.
A greenish cloud of toxic gas is swirling here.	Burada yeşilimsi bir zehirli gaz bulutu dönüyor.
You died from a toxic gas..	Zehirli gazı soluyarak öldün.
As you take a sip, you feel the knowledge pours into your mind. Now you know everything about your equipped items. Also you sense all items on the level and know all its secrets.	Bilginin gücü bu kuyunun suyundan yayılıyor. Donatılmış eşyalarınızın tüm sırlarını açığa çıkarmak için ondan bir yudum alın.
Power of knowledge radiates from the water of this well. Take a sip from it to reveal all secrets of equipped items.	Bir yudum aldığınızda, bilginin zihninize aktığını hissediyorsunuz. Artık kuşandığınız eşyalar hakkında her şeyi biliyorsunuz. Ayrıca, seviyedeki tüm eşyaları hissediyor ve tüm sırlarını biliyorsunuz.
Power of health radiates from the water of this well. Take a sip from it to heal your wounds and satisfy hunger.	Kuyudan sağlık verici ışıltılar yayılıyor , bir yudum aldığında yaraların ve tüm açlığın yok oluyor.
As you take a sip, you feel your wounds heal completely.	bir yudum aldığın gibi tüm yaraların iyileşti.
Power of change radiates from the water of this well. Throw an item into the well to turn it into something else.	Kuyudan Sanş ışıltıları yayılıyor , Kuyuya bir nesne at ve başka bir şeye dönüşsün.
Everything is covered with a thick web here.	Buradaki her şey kalın bir ağ tabakası ile kaplı.
Amok	Cinnet
Barkskin	Kabuk Derisi
Bleeding	Kanaman var
You bled to death...	Kan kaybından öldün.
Blinded	Kör oldun
Burning	Yakıcı
%s burns up!	%s yanıyor
You burned to death...	yanarak öldün...
Charmed	Büyülenmiş
Combo	Kombo
%d hit combo!	%d Vuruş kombinasyonu!
Crippled	kötürüm
Frozen	Donmuş
Fury	öfkeli
You are hungry.	Acıkmaya başladın.
You are starving!	Açlıktan ölüyorsun!
You starved to death...	Açlıktan öldün...
Hungry	Aç
Starving	Çok aç
Invisible	Görünmez
Levitating	Uçuyor
Illuminated	Aydınlanmış
Mind vision	Zihin Görüşü
Caustic ooze	Yakıcı balçık
%s killed you...	%s seni öldürdü...
Paralyzed	Felçli
Poisoned	Zehirlenmiş
You died from poison...	Zehirden öldün...
Rooted	Kök Salmış
Shadowmelded	Gölge Erimesi
Slowed	Yavaşlamış
Vertigo	Baş dönmesi
Weakened	Zayıf
backpack	sırt çantası
Real description is coming soon!	Gerçek açıklama yakında gelecek!
You hear something died in the distance	Uzakta birşeyin öldüğünü duydun
This %s is sleeping	%s uyuyor
This %s is hunting	%s avlanıyor
This %s is fleeing	%s kaçıyor
This %s is passive	%s pasif
acidic scorpio	asidik akrep
albino rat	albino sıçan
crazy bandit	Çılgın Haydut
vampire bat	vampir yarasa
These brisk and tenacious inhabitants of cave domes may defeat much larger opponents by replenishing their health with each successful attack.	Bu mağara kubbeleri altında yaşayan inatçı ve hareketli yaratıklar kendilerinde çok büyük düşmanları başarılı her saldırılarında canlarını yenileyerek atl edebilir
gnoll brute	gnoll kabadayı
Brutes are the largest, strongest and toughest of all gnolls. When severely wounded, they go berserk, inflicting even more damage to their enemies.	Yabaniler en büyük ve güçlü gnoll türüdür.  Çok kötü yaralandıklarında çılgına döner ve düşmanlarına çok büyük zarar verebilir.
%s becomes enraged!	%s öfkelendi!
enraged	öfkeli
sewer crab	lağım yengeci
These huge crabs are at the top of the food chain in the sewers. They are extremely fast and their thick exoskeleton can withstand heavy blows.	Bu devasa yengeçler lağımlarda besin zincirinin başındadır.\nAşırı hızlılardır ve kalın dış iskeletleri ağır vuruşlara dayanabilir.
DM-300	DM-300
This machine was created by the Dwarves several centuries ago. Later, Dwarves started to replace machines with golems, elementals and even demons. Eventually it led their civilization to the decline. The DM-300 and similar machines were typically used for construction and mining, and in some cases, for city defense.	Bu makine birkaç yüzyıl önce Cüceler tarafından yapıldı. Sonra Cüceler golemleri, elementalleri ve hatta şeytanları makineler yerine kullanmaya başladı. Bu eninde sonunda onların uygarlıklarını düşüşe zorladı. DM-300 ve benzeri makineler genellikle inşaat ve madencilikte ve bazı durumlarda şehir savunmasında kullanıldı.
DM-300 repairs itself!	DM-300 kendini onardı!
Mission failed. Shutting down.	Görev başarısız. Kapatılıyor.
Unauthorized personnel detected.	Yetkisiz personel tespit edildi.
fire elemental	Ateş elementali
Wandering fire elementals are a byproduct of summoning greater entities. They are too chaotic in their nature to be controlled by even the most powerful demonologist.	Gezgin ateş elementalleri daha büyük varlıkları çağırmanın bir yan ürünüdür. Doğaları gereği en güçlü iblisbilimciler tarafından bile kontrol edilemeyecek kadar kaotiktirler.
evil eye	şeytani göz
One of this demon's other names is "orb of hatred", because when it sees an enemy, it uses its deathgaze recklessly, often ignoring its allies and wounding them.	Bu iblisin diğer isimlerinden biri de "nefret küresi "dir, çünkü bir düşman gördüğünde ölüm bakışını pervasızca kullanır, genellikle müttefiklerini görmezden gelir ve onları yaralar.
%s's deathgaze killed you...	%s ölümcül bakış ile seni öldürdü...
fetid rat	kokuşmuş fare
This marsupial rat is much larger, than a regular one. It is surrounded by a foul cloud.	Bu keseli sıçan diğerlerinden daha büyük. Kokuşmuş bir bulut ile çevrili.
gnoll scout	izci gnoll
Gnolls are hyena-like humanoids. They dwell in sewers and dungeons, venturing up to raid the surface from time to time. Gnoll scouts are regular members of their pack, they are not as strong as brutes and not as intelligent as shamans.	Gnoller sırtlan benzeri insansılardır.Lağımlar ve zindanlar yaşam alanlarıdır.Zaman zaman yüzeye saldırılar yapmayada cüret ederler. Gnoll izciler sürüleri içinde normal güçteki üyeleridir, vahşi gnoller kadar güçlü , şamanlar kadar zeki değillerdir.
golem	golem
The Dwarves tried to combine their knowledge of mechanisms with their newfound power of elemental binding. They used spirits of earth as the "soul" for the mechanical bodies of golems, which were believed to be most controllable of all. Despite this, the tiniest mistake in the ritual could cause an outbreak.	Cüceler elementler üzerinde yeni keşfettikleri bilgieri mekanik bilgileri ile birleştirmeyi denediklerinde , yerin ruhlarını mekanik vücutlar ile birleştirerek Golem'leri yarattılar.Bu ritueldeki en ufak bir hata bir isyan başlatabilirdi.
Goo	Goo
Little known about The Goo. It's quite possible that it is not even a creature, but rather a conglomerate of substances from the sewers that gained rudiments of free will.	Goo hakkında pek az şey bilinmektedir. Muhtemelen bir yaratık değil, kanalizasyondan gelen maddelerin özgür iradeye sahip rudimentler kazandığı bir birleşik yapıdır. Her halükarda, burada karanlık sihirin işaretleri açıktır.
Goo is pumping itself up!	Goo kendini şişiriyor!
glurp... glurp...	gluk gluk
GLURP-GLURP!	GLUK-GLUK!
!!!	!!!
The last king of dwarves was known for his deep understanding of processes of life and death. He has persuaded members of his court to participate in a ritual, that should have granted them eternal youthfulness. In the end he was the only one, who got it - and an army of undead as a bonus.	Cücelerin son kralı , hayat ve ölüm üzerindeki büyük bilgisi ile tanınırdı.Sarayındaki tebasını sonsuz gençlik vaadi ile bu çalışmalarına katılmak için ikna etmişti. Bunun sonunda sadece kendisi bu ödülü kazandı, ek olarakta bir ölümsüzler ordusuna kavuştu.
You cannot kill me, %s... I am... immortal...	Benim öldüremezsin, %s... Ben... ölümsüzüm...
Arise, slaves!	Köleler, kalkın!
How dare you!	Ne cüretle!
These undead dwarves, risen by the will of the King of Dwarves, were members of his court. They appear as skeletons with a stunning amount of facial hair.	Bu ölümsüz cücler , Cüce Kralının çağrısı üzerne mezarlarından kalkmış. Hatırı sayılır bir sakal ve kemiklerden oluşan bir iskelet görünümündeler.
mimic	Taklitçi
Mimics are magical creatures which can take any shape they wish. In dungeons they almost always choose a shape of a treasure chest, because they know how to beckon an adventurer.	Taklit'ler istedikleri şeyin şeklini alabilen sihirli yaratıklardır. Maceracıların dikkatini çekmek için genellikle hazine sandığı şeklini alırlar;
dwarf monk	cüce keşiş
These monks are fanatics, who devoted themselves to protecting their city's secrets from all aliens. They don't use any armor or weapons, relying solely on the art of hand-to-hand combat.	Bu keşişler kendilerini şehirlerini korumaya adamış fanatiklerdir.Yakın dövüş yeteneklerine güvenir ve hiç bir zırh veya silah kullanmazlar.
parried	savuşturdu
%1$s has knocked the %2$s from your hands!	%1$s, %2$s eşyasını elinden aldı!
giant piranha	dev pirana
These carnivorous fish are not natural inhabitants of underground pools. They were bred specifically to protect flooded treasure vaults.	Bu etobur balıklar yeraltı sularının doğal canlıları değildir, hazineleri korumak için özel olarak üretilmişlerdir.
marsupial rat	keseli sıçan
Marsupial rats are aggressive, but rather weak denizens of the sewers. They can be dangerous only in big numbers.	Keseli sıçanlar lağımların sinirli ancak zayıf müdavimleridir.Çok fazla sayıda olduklarında tehlikeli olabilirler.
scorpio	akrep
These huge arachnid-like demonic creatures avoid close combat by all means, firing crippling serrated spikes from long distances.	Bu devasa örümcek benzeri yaratık her koşulda yakın dövüşten kaçınmasa ile ünlüdür.Uzaktan felce uğratan oklar fırlatarak düşmanı ile savaşır.
senior monk	kıdemli keşiş
gnoll shaman	gnoll şaman
The most intelligent gnolls can master shamanistic magic. Gnoll shamans prefer battle spells to compensate for lack of might, not hesitating to use them on those who question their status in a tribe.	En zeki gnoller şaman büyülerinde uzmanlaşabilir. Gnoll şamanlar kabilelerinde onları sorgulayanlar üzerinde bu büyülerini kullanmaktan çekinmezler.
%s's lightning bolt killed you...	%s'nın yıldırımı seni öldürdü.
shielded brute	zırhlı vahşi
skeleton	iskelet
Skeletons are composed of corpses bones from unlucky adventurers and inhabitants of the dungeon, animated by emanations of evil magic from the depths below. After they have been damaged enough, they disintegrate in an explosion of bones.	İskeletler şansız maceracılar ve mağarının eski sakinlerinin kemiklerinin bir araya gelmesinden oluşur. Derinlerden fışkıran şeytani büyü sayesinde hayat bulurlar. Yeterince hasar görürlerse kemikler patlayarak iskelet yok olur.
blocked	engellenmiş
You were killed by the explosion of bones...	Kemiklerin patlaması ile öldün...
cave spinner	nişancı mağara örümceği
These greenish furry cave spiders try to avoid direct combat, preferring to wait in the distance while their victim, entangled in the spinner's excreted cobweb, slowly dies from their poisonous bite.	Bu öfkeli, yeşil örümcekler direkt dövüşten kaçınır, kurbanlarını ördükleri ağ ile tuzağa düşürerek zehirleyip öldürmeyi tercih ederler.
animated statue	canlı heykel
You would think that it's just another ugly statue of this dungeon, but its red glowing eyes give itself away. While the statue itself is made of stone, the _%s_, it's wielding, looks real.	Ne kadar çirkin bir heykel olduğunu düşünmeden edemiyorsun, sadece parlayan kırmızı gözleri değil , kim böyle bir şeyin üstüne _%s_ koyar.
succubus	dişi şeytan
The succubi are demons that look like seductive (in a slightly gothic way) girls. Using its magic, the succubus can charm a hero, who will become unable to attack anything until the charm wears off.	Succubi(Dişi şeytanlar ) baştan çıkarıcı (biraz gotik bir şekilde) kızlara benzeyen iblislerdir. Succubus, büyüsünü kullanarak bir kahramanı etkileyebilir ve kahraman, büyüsü geçene kadar hiçbir şeye saldıramaz hale gelir.
swarm of flies	Sinek sürüsü
The deadly swarm of flies buzzes angrily. Every non-magical attack will split it into two smaller but equally dangerous swarms.	Ölümcül sinek sürüzü aç bir şekilde vızıldıyor.Sihirli olmayan her atak onları daha küçük ama aynı boyutta tehlikeli iki parçaya bölecektir
Tengu	Tengu
Tengu are members of the ancient assassins clan, which is also called Tengu. These assassins are noted for extensive use of shuriken and traps.	Tengu, adı Tengu olan antik suikastçi klanının üyesidir, bu suikastçiler tuzakları ve ninja yıldızlarını kullanmaları ile ünlüdür.
Free at last...	Sonunda özgürüm...
Gotcha, %s!	yakaladım, %s!
crazy thief	çılgın hırsız
Deeper levels of the dungeon have always been a hiding place for all kinds of criminals. Not all of them could keep a clear mind during their extended periods so far from daylight. Long ago, these crazy thieves and bandits have forgotten who they are and why they steal.	Zindanın daha alt seviyeleri her zaman suçluların gizlenme yeri olmuştur. Bunlardan çok azı gün ışığından uzakta akıl sağlıklarını koruyabilmiştir. Uzun zaman önce çılgın hırsız ve eşkiyalar , kim olduklarını vr niye çaldıklarını unutmuşlardır.
%1$s stole %2$s from you!	%1$s senden %2$s çaldı!
\n\n%1$s is carrying a _%2$s_. Stolen obviously.	\n\n%1$s _%2$s_ üzerinde taşıyor. Çalıntı olduğu kesin.
dwarf warlock	cüce büyücü
When dwarves' interests have shifted from engineering to arcane arts, warlocks have come to power in the city. They started with elemental magic, but soon switched to demonology and necromancy.	 Cücelerin ilgi alanları mühendislikten gizemli sanatlara kaydıktan sonra büyücüler şehirde güçlendi. Önce element büyüleri ile başlamışlardı ama sonra şeytani ve ruhani büyülerle ilgilendiler.
%s's shadow bolt killed you...	%s'in/un gölge yıldırımı seni öldürdü.
wraith	Hayalet
A wraith is a vengeful spirit of a sinner, whose grave or tomb was disturbed. Being an ethereal entity, it is very hard to hit with a regular weapon.	Bir hortlak, mezarı veya türbesi rahatsız edilen bir günahkârın intikamcı ruhudur. Ruhani bir varlık olduğundan, normal bir silahla vurulması çok zordur.
Yog-Dzewa	Yog-Dzewa
Yog-Dzewa is an Old God, a powerful entity from the realms of chaos. A century ago, the ancient dwarves barely won the war against its army of demons, but were unable to kill the god itself. Instead, they then imprisoned it in the halls below their city, believing it to be too weak to rise ever again.	Yog-Dzewa eski bir tanrıdır.Kaos diyarının güçlü varlığı.Bir asır önce , antik cüceler zorla da olsa onun şeytani ordularını yenmişti, ancak tanrının kendisini öldürememişlerdi. Tekrar yükselmek için çok güçsüz olduğuna inanıp onu burad şehirlerinin altında hapsetmişlerdi.
...	...
Hope is an illusion...	Umarım bu bir hayaldir...
rotting fist	köklü yumruk
burning fist	yanan yumruk
god's larva	Tanrı'nın Larvası
golden bee	arı
Despite their small size, golden bees tend to protect their master fiercely. They don't live long though.	Arılar küçük boyutlarına rağmen kovanlarını şiddetle koruma eğilimindedir. Yine de uzun yaşamazlar.
This %s is wandering	%s geziniyor
troll blacksmith	trol demirci
This troll blacksmith looks like all trolls look: he is tall and lean, and his skin resembles stone in both color and texture. The troll blacksmith is tinkering with unproportionally small tools.	Bu trol demircisi tüm troller gibi görünüyor: uzun boylu ve zayıf, derisi hem renk hem de doku olarak taşı andırıyor. Trol demirci orantısız derecede küçük aletlerle uğraşıyor.
Hey human! Wanna be useful, eh? Take dis pickaxe and mine me some _dark gold ore_, _15 pieces_ should be enough. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Hey insan! Yararlı olmak ister misin? Kazmanı al ve bana biraz _kara altın cevheri_ çıkar, _15 parça_ yeterli olur. Ne demek istiyorsun, nasıl ödeyeceğim? Seni açgözlü...\nTamam, ödeyecek param yok ama senin için biraz demircilik yapabilirim. Kendini şanslı say, etraftaki tek demirci benim.
Hey human! Wanna be useful, eh? Take dis pickaxe and _kill a bat_ wit' it, I need its blood on the head. What do you mean, how am I gonna pay? You greedy...\nOk, ok, I don't have money to pay, but I can do some smithin' for you. Consider yourself lucky, I'm the only blacksmith around.	Hey insan! Yararlı olmak ister misin? Bu kazmayı al ve onunla bir _yarasa_ öldür, kafasındaki kana ihtiyacım var. Ne demek istiyorsun, nasıl ödeyeceğim? Seni açgözlü...\nTamam, tamam, ödeyecek param yok ama senin için biraz demircilik yapabilirim. Kendini şanslı say, etraftaki tek demirci benim.
Are you kiddin' me? Where is my pickaxe?!	Benimle dalga mı geçiyorsun? Kazmam nerede?!
Dark gold ore. 15 pieces. Seriously, is it dat hard?	Kara altın madeni, 15 parça. Ciddi misin ? Bu bu kadar zor mu?
I said I need bat blood on the pickaxe. Chop chop!	Sana bu kazma üstünde yarasa kanına ihtiyacım var dedim. Vurma sesleri !
Oh, you have returned... Better late dan never.	Oh, geri döndün... Geç olsun güç olmasın.
I'm busy. Get lost!	Meşgulüm. Uza!
your %s certainly looks better now	%s şu anda çok daha iyi görünüyor
Select 2 different items, not the same item twice!	2 farklı eşya seç, aynısını iki defa değil.
Select 2 items of the same type!	Aynı 2 türden eşya seç.
I need to know what I'm working with, identify them first!	Ne ile çalıştığımı bilmem gerek, getirmeden önce tanımla!
I don't work with cursed items!	Lanetli eşyalarla çalışmam!
It's a junk, the quality is too poor!	Çöp, kalitesi çok düşük.
I can't reforge these items!	Bu malzemeleri dövemem
sad ghost	üzgün hayalet
The ghost is barely visible. It looks like a shapeless spot of faint light with a sorrowful face.	Hayalet zar zor görülebiliyor. Kederli bir yüzü olan şekilsiz, soluk bir ışık lekesine benziyor.
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my _dried rose_... It's very important to me... Some monster stole it from my body...	Merhaba maceracı. Bir zamanlar ben de senin gibiydim - güçlü ve kendinden emin... Ve şimdi öldüm. Ama burayı terk edemem. _Kurutulmuş gülümü_ almadan olmaz. O benim için çok önemli. Bir canavar onu bedenimden çaldı.
Please... Help me... _Find the rose_...	Lütfen... Bana yardım et... Gülü bul...
Yes! Yes!!! This is it! Please give it to me! And you can take one of these items, maybe they will be useful to you in your journey...	Evet! Evet!!! İşte bu! Lütfen bana ver onu! Ayrıca bu nesnelerden istediğin birini alabilirsin, belki maceranda bir yardımı dokunur..
Hello adventurer... Once I was like you - strong and confident... And now I'm dead... But I can't leave this place... Not until I have my revenge... Slay the _fetid rat_, that has taken my life...	Merhaba maceracı. Bir zamanlar ben de senin gibiydim - güçlü ve kendinden emin... Ve şimdi öldüm. Ama burayı terk edemem. İntikamımı almadan olmaz. Hayatımı alan o _pis fareyi_ öldürmeden.
Please... Help me... _Slay the abomination_...	Lütfen... Yardım et... Nefret ettiğim sıçanı öldür...
Yes! The ugly creature is slain and I can finally rest... Please take one of these items, maybe they will be useful to you in your journey...	Evet ! O çirkin yaratık öldü artık dinlenebilirim... Maceranda yardımcı olacak bu nesnelerden birini seçebilirsin...
Imps are lesser demons. They are notable for neither their strength nor their magic talent, but they are quite smart and sociable. Many imps prefer to live among non-demons.	Güç ve sihirli yetenekleri ile değil , akıllı ve sosyal olmaları ile tanınırlar.Birçokları şeytanlar ile yaşamayı tercih etmez
evaded	savuşturdu
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _golems_ who need to be killed. You see, I'm going to start a little business here, but these stupid golems are bad for business! It's very hard to negotiate with wandering lumps of granite, damn them! So please, kill... let's say _6 of them_ and a reward is yours.	Sen bir maceracı mısın ? Maceracıları severim ! Eğer birşeyler öldürülmesi gerekiyorsa onlara güvenebilirsin. Haksız mıyım? Bir ödül karşılığında ;)\n Benim durumumda bu öldürülecek olanlar Golemler. Gördün mü , ufak bir iş başlatıyorum burada , ama bu aptal golemler iş için çok kötüler! Bu granit topağı göçebelerle anlaşmak imkansız, lanet olsun onlara ! Lütfen öldür onları... şöyle diyelim 6 tanesini öldür.
How is your golem safari going?	Golem safarin ne alemde?
Are you an adventurer? I love adventurers! You can always rely on them if something needs to be killed. Am I right? For a bounty, of course ;)\nIn my case this is _monks_ who need to be killed. You see, I'm going to start a little business here, but these lunatics don't buy anything themselves and will scare away other customers. So please, kill... let's say _8 of them_ and a reward is yours.	Sen bir maceracı mısın ? Maceracıları severim ! Eğer birşeyler öldürülmesi gerekiyorsa onlara güvenebilirsin. Haksız mıyım? Bir ödül karşılığında ;)\n Benim durumumda bu öldürülecek olanlar keşişler. Gördün mü , ufak bir iş başlatıyorum burada , ama bu deliler kendilerine bir şey almadıkları gibi müşterileri de korkutuyorlar. lanet olsun onlara ! Lütfen öldür onları... şöyle diyelim 8 tanesini öldür.
Oh, you are still alive! I knew that your kung-fu is stronger ;) Just don't forget to grab these monks' tokens.	Ooo, hala hayattasın. Senin Kung-fu'nun kuvvetli olduğunu biliyordum ;) Keşiş simgelerini toplamayı unutma.
See you, %s!	Görüşürüz, %s!
Psst, %s!	Psst, %s!
ambitious imp	Hırslı küçük şeytan
Imps are lesser demons. They are notable for neither their strength nor their magic talent. But they are quite smart and sociable, and many of imps prefer to live and do business among non-demons.	Güç ve sihirli yetenekleri ile değil , akıllı ve sosyal olmaları ile tanınırlar.Birçokları şeytanlar ile yaşamayı tercih etmez.
Hello, friend!	Merhaba, arkadaşım!
mirror image	ayna görüntüsü
This illusion bears a close resemblance to you, but it's paler and twitches a little.	Bu ilüzyon sana soluk olması ve hafif titreşmesi dışında oldukça benzer.
rat king	fare kral
This rat is a little bigger than a regular marsupial rat and it's wearing a tiny crown on its head.	Bu sıçan normal keseli sıçanlardan biraz daha büyük ve kafasında garip küçük bir taç var.
I'm not sleeping!	Uyumuyorum!
What is it? I have no time for this nonsense. My kingdom won't rule itself!	Bu nedir ? Bu anlamsız şeylerle uğraşamam, krallığım kendi kendini yönetemez!
shopkeeper	dükkan sahibi
This stout guy looks more appropriate for a trade district in some large city than for a dungeon. His prices explain why he prefers to do business here.	Bu sağlam adam bu zindan gibi yerler yerine büyük bir şehirde olmaya daha uygun görünüyor. Fiyatları neden burada olmak istediğini açıklıyor.
Select an item to sell	Satmak için bir eşya seç
old wandmaker	yaşlı asa ustası
This old but hale gentleman wears a slightly confused expression. He is protected by a magic shield.	Bu yaşlı ama dinç beyefendi biraz şaşkın bir ifade takınıyor. Sihirli bir kalkan tarafından korunuyor.
absorbed	absorbe edildi
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _Rotberry seed_. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	Oo, sizin gibi nazik biri ile bu gibi bir yerde karşılaşmak ne güzel bir sürpriz.Buraya zor bulunan bir malzeme için geldim : _Çürük Dut tohumu_. Bir büyücü olarak buradaki yaratıklara karşı kendimi savunabilirim, fakat zamanım çok kısıtlı. Muhtemelen bana yardım edebilirsin. Sana hizmetinin karşılığını en iyi asalarımdan biri ile ödeyebilirim.
Any luck with a _Rotberry seed_, %s? No? Don't worry, I'm not in a hurry.	Çürük dut tohumu bulabildin mi, %s? No? Üzülme acelem yok.
